#	Labrune - D:\Games\NFS Carbon\LANGUAGES\Dutch_InGame.bin
#	File created on: 2025-05-10 15:19:36
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	MENU_POSTRACE_AVERAGE_DRIFT_LENGTH	GEM. LENGTE
0	AUTO	WM_ACQUISITION_AREA_CONQUERED	*GEBIED VEROVERD*
0	AUTO	MENU_POSTRACE_CAR_CLASS_SELECT	Wil je met deze wagen je carrière beginnen?
0	AUTO	HUD_CANYON_COLLISION_PENALTY	BOTSING %$d PTN
0	AUTO	POSTRACE_CREW_INVITE	Teamuitnodiging
0	AUTO	HUD_YOUR_TIME	Je tijd:
0	AUTO	MENU_PAUSE_QUIT_TO_FREEROAM	NAAR VRIJ RONDRIJDEN
0	AUTO	HUD_SHIFT_PERFECT	Perfect geschakeld!
0	AUTO	HUD_DRIFT_KEEP_MOVING	GA DOOR!
0	AUTO	PURSUIT_MILESTONE_ACHIEVED	MIJLPAAL BEHAALD
0	AUTO	HUD_WRNONG_WAY	OMKEREN!
0	AUTO	HUD_DRIFT_DRIFT_ENDED	EINDE DRIFT
0	AUTO	QR_GHOST_UPLOAD	Gefeliciteerd! Je hebt een nieuwe top 3-record voor deze track gevestigd! Een schaduw van je prestatie wordt geüpload naar het scorebord op NeedforSpeed.com, zodat anderen hem kunnen proberen te verbeteren!
0	AUTO	MENU_POSTRACE_CANYON_SECTION_ONE_COMPLETE	DEEL 1 VAN 2
0	AUTO	HUD_DRIFT_PERFECT_ENTRY	PERFECTE BINNENKOMER!
0	AUTO	MENU_POSTRACE_SPEEDTRAPS	RADAR
0	AUTO	SMS_FROM	Van:
0	AUTO	SMS_TEXT	SMS
0	AUTO	HUD_DRIFT_POINTS_EARNED	VERDIENDE PTN
0	AUTO	MENU_POSTRACE_CREW_WIN	*%s WINT*
0	AUTO	MENU_POSTRACE_OPP_OVERBOARD	TEGENSTANDER GECRASHT!
0	AUTO	HEADER_POSTRACE_CROSS_LOSE	VERLOREN
