#	Labrune - D:\[Modding]\NFS\StringEditor\TextStrings\MostWantedMod\RAW\Thai.bin
#	File created on: 2025-05-10 16:26:21
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - GLOBAL
0	AUTO	AT	@
0	AUTO	GPS	จีพีเอส
0	AUTO	LAP	จำนวนรอบ
0	AUTO	N2O	ไนตรัส
0	AUTO	RED	สีแดง
0	AUTO	BACK	กลับ
0	AUTO	BLUE	สีฟ้า
0	AUTO	COPS	ตำรวจ
0	AUTO	DEMO	เดโม
0	AUTO	GOLD	สีทอง
0	AUTO	GREY	สีเทา
0	AUTO	LANG_SPANISH	ภาษาสเปน
0	AUTO	LOAD	โหลด
0	AUTO	MALE	ชาย
0	AUTO	PHIL	phils default string
0	AUTO	PINK	สีชมพู
0	AUTO	SAVE	บันทึก
0	AUTO	TEST	
0	AUTO	OL_MSG_ACCOUNT_CREATE_PARENTAL_EMAIL	อีเมลของผู้ปกครองหรือผู้ดูแล:
0	AUTO	OL_MSG_CONNECT_TO_LOBBY	กำลังเชื่อมต่อไปยังล็อบบี้...
0	AUTO	MISSING_PARTS_MARKER	เครื่องหมายไนตรัส เทอร์โบ และซูเปอร์ชาร์จเจอร์^สามารถใช้ได้กับรถที่ได้ติดตั้งอุปกรณ์รุ่นที่จูนได้แล้วเท่านั้น
0	AUTO	OL_GAMEROOM_FULL	ห้องเกมเต็มก่อนที่คุณจะทำการเลือก
0	AUTO	OLX_QUIT_STRING	Quit to Xbox Live Main Menu
0	AUTO	PN_ROOF_18_CF_OFFSET	ไต้ฝุ่น ออฟเซ็ต
0	AUTO	CARNAME_MAZDA_RX7	มาสด้า อาร์เอ็กซ์-7
0	AUTO	CARNAME_MAZDA_RX8	มาสด้า อาร์เอ็กซ์-8
0	00C888DD	helpscreen_title_markers	เครื่องหมาย
0	AUTO	AUTODRIVE	ระบบขับเคลื่อนอัตโนมัติ
0	AUTO	H_DEFAULTS	ค่าเริ่มต้น
0	AUTO	OLX_CAR_SELECT_TITLE	เลือกรถ
0	AUTO	OLX_ENTER_PASSCODE	Please enter the pass code for %s
0	AUTO	PR_RESTART_RACE	เริ่มต้นการแข่งขันใหม่
0	AUTO	CONFIRM_START_NEW_CAREER	การเริ่มต้นอาชีพใหม่จะแทนที่อาชีพเก่าที่คุณเคยเล่น คุณแน่ใจหรือว่าต้องการเริ่มอาชีพใหม่?
0	AUTO	OL_FIND_RESULTS_TITLE	ผลการค้นหา
0	AUTO	MARKER_CATEGORY_DESC_MISC	เครื่องหมายเหล่านี้ คือ โบนัสเงินสด ออกจากคุกโดยไม่ต้องชดใช้ เพิ่มจำนวนครั้งที่ถูกจับ^ก่อนถูกยึดรถ ไถ่รถจากการถูกยึด และใบเดิมพันรถของคู่แข่งที่คุณเอาชนะได้
0	017461C6	blacklist_pursuit_milestones_03_short	ค่าหัว
0	AUTO	OL_FEEDBACK_TYPE_LANGUAGE	ใช้ภาษาหยาบคาย
0	AUTO	BUTTON_GAMEBREAKER	ตัวหน่วงเวลา
0	AUTO	PAUSE_RESTART_DEMO	เริ่มต้นเดโมใหม่
0	AUTO	CS_ITEM	ไอเท็ม
0	AUTO	PAUSE_RESUME_FREE_ROAM	ขับรถอิสระต่อ
0	AUTO	OPT_GAMEPLAY_TITLE	ลักษณะเกม
