#	Labrune - D:\[Modding]\NFS\StringEditor\TextStrings\MostWantedMod\RAW\French.bin
#	File created on: 2025-05-10 16:24:48
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - GLOBAL
0	AUTO	AT	à
0	AUTO	GPS	GPS
0	AUTO	LAP	Tour
0	AUTO	N2O	N2O
0	AUTO	RED	Rouge
0	AUTO	BACK	Retour
0	AUTO	BLUE	Bleu
0	AUTO	COPS	Flics
0	AUTO	GOLD	Or
0	AUTO	GREY	Gris
0	AUTO	LANG_SPANISH	ESPAÑOL
0	AUTO	LOAD	Charger
0	AUTO	MALE	Homme
0	AUTO	PHIL	phils default string
0	AUTO	PINK	Rose
0	AUTO	SAVE	Sauvegarder
0	AUTO	TEST	
0	AUTO	OL_MSG_ACCOUNT_CREATE_PARENTAL_EMAIL	Adresse e-mail du parent ou tuteur :
0	AUTO	OL_MSG_CONNECT_TO_LOBBY	Connexion au salon...
0	AUTO	MISSING_PARTS_MARKER	Le N2O, le turbo et le pass compresseur ne peuvent être utilisés que si la voiture est déjà équipée de versions réglables de ces éléments.
0	AUTO	OL_GAMEROOM_FULL	Les dernières places dans le Salon de jeu ont été prises pendant votre sélection.
0	AUTO	OLX_QUIT_STRING	Quitter et revenir au menu principal Xbox Live
0	AUTO	PN_ROOF_18_CF_OFFSET	Typhon Offset
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	00C888DD	helpscreen_title_markers	Pass
0	AUTO	AUTODRIVE	Guidage auto
0	AUTO	H_DEFAULTS	Par défaut
0	AUTO	OLX_CAR_SELECT_TITLE	Choix voiture
0	AUTO	OLX_ENTER_PASSCODE	Saisissez le code d'accès de %s
0	AUTO	PR_RESTART_RACE	Recommencer la course
0	AUTO	CONFIRM_START_NEW_CAREER	Démarrer une nouvelle carrière écrasera votre ancienne carrière. Voulez-vous vraiment démarrer une nouvelle carrière ?
0	AUTO	OL_FIND_RESULTS_TITLE	trouver résultats
0	AUTO	MARKER_CATEGORY_DESC_MISC	Ces pass sont de différentes natures : cash suppl., marques d'arrestation suppl., bons de sortie de prison ou de fourrière. Ils peuvent aussi vous permettre de garder la carte grise de la voiture du rival que vous venez de battre.
0	017461C6	blacklist_pursuit_milestones_03_short	Prime 
0	AUTO	OL_FEEDBACK_TYPE_LANGUAGE	Jurons ou obscénités
0	AUTO	BUTTON_GAMEBREAKER	Supercontrôle
0	AUTO	PAUSE_RESTART_DEMO	Restart Demo
