#	Labrune - D:\Games\NFS Carbon\LANGUAGES\Swedish_Frontend.bin
#	File created on: 2025-05-10 15:29:25
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	CUST_VINYLS_TRANSFORM_TITLE	*VINYLFORM*
0	AUTO	ON_STAT_HEADER_KNOCKOUTS	Knockouts
0	AUTO	MENU_CREW_LOGO	GÄNGLOGGA
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	MARKER_CATEGORY_DESC_MISC	Markerna inkluderar pengabonusar, fängelsefrikort, extra beslagsmarker och ägarbeviset till den nyligen besegrade gängledarbilen.
0	AUTO	DEMO_CUSTOMIZATION_SELL	Med Autosculpt™ kan du specialanpassa din bil genom att tillverka egna delar. Du kan modifiera karosskit, hjul, huvar, spoilrar och takgälar för att skapa exakt de delar du behöver. Och det finns mer möjligheter. Du kan lägga speciallack, sätta på vinylgrafik, dekaler och installera trimdelar för att skapa en unik gängidentitet.
0	AUTO	CHAL_COMPLETED	Slutförd
0	AUTO	MC_CONFIRM_CREATE_PROFILE	Skapa ett nytt alias? ^Om du inte gör det kan ändringar som inte sparats försvinna.
0	AUTO	CHAL_SELECT_CREW_MODE	Välj samarbetsutmaningstyp
0	AUTO	CUST_PARTS_WHEELS_TITLE	*FÄLGAR*
0	AUTO	MARKER_NAME_TRANSMISSION	Unika växellådsuppgraderingar
0	AUTO	CUST_VINYLS_COLOUR_TITLE	*VINYLFÄRG*
0	AUTO	CARNAME_DODGE_VINTAGE_CHARGER69	Dodge Charger R/T
0	AUTO	SHOPPING_CART_DLG_NO_CASH	Du har inte tillräckligt med pengar för att köpa alla delarna. Ta bort några prylar ur kundvagnen.
0	AUTO	CARNAME_MERCEDES_CLK500	Mercedes-Benz CLK 500
0	AUTO	LANG_FINNISH	Finska
0	AUTO	MARKER_NAME_DESCRIPTION_HUD	En unik uppgradering av specialinstrumenbräda till någon av dina bilar.
0	AUTO	MARKER_NAME_DESCRIPTION_NOS	En unik lustgasuppgradering till någon av dina bilar.
0	AUTO	STAT_PERC_AS_POLICE	%% som polis
0	AUTO	HELP_RACE	Race
0	AUTO	RC_WIN_05_CAREER_RACES_DESCRIPTION	Måste vinna fem karriärrace
0	AUTO	CHAL_SOLO_CHALLENGE	Soloutmaning
0	AUTO	MENU_MAIN_TITLE_CAREER	*KARRIÄR*
0	AUTO	STAT_NUM_TIMES_BUSTED	Antal arresteringar
0	AUTO	CUST_PARTS_WHEELS	FÄLGAR
0	AUTO	STAT_NUM_CREW_MEMEBERS_HIRED	Antal gängmedlemmar
0	AUTO	MARKER_NAME_DESCRIPTION_CASH	Du fick just %$d extra i kontanter.
0	AUTO	MARKER_NAME_DESCRIPTION_HOOD	En unik huvuppgradering till någon av dina bilar.
0	AUTO	MARKER_NAME_DESCRIPTION_RIMS	En unik fälguppgradering till någon av dina bilar.
0	AUTO	MARKER_NAME_DESCRIPTION_TIRE	En unik däcksuppgradering till någon av dina bilar.
0	AUTO	PART_KIT01_FRONT_BUMPER	STAG
0	AUTO	LANG_HUNGARIAN_NO_TRANSLATION	MAGYAR
0	AUTO	MC_CREATE	Skapa
0	AUTO	CUST_RIDE_HEIGHT_DROP	Markfrigångsjustering
0	AUTO	HELP_CAREER_CONTROLS	Din bil
0	AUTO	PART_KIT07_SKIRT	SLIPSTREAM
0	AUTO	MENU_CREW_STYLE	GÄNGSTIL
0	AUTO	POST_RACE_PURSUIT_STATS	Jaktstatistik
0	AUTO	MC_DELETE	Radera
0	AUTO	MENU_QUICKRACE_GHOST_TIME	Skuggbilens tid
0	AUTO	CUST_VINYL_GRADIENT_0_0	DELOMRÅDE 0
0	AUTO	CUST_VINYL_GRADIENT_1_0	DELOMRÅDE 1
0	AUTO	RC_NAME_104	10 poliser
0	AUTO	LANG_SWEDISH	Svenska
0	AUTO	PART_KIT07_REAR_BUMPER	SLIPSTREAM
0	AUTO	MARKER_NAME_PAINT	Unika lackuppgraderingar
0	AUTO	GAME_OVER_WINGMEN_BUSTED_DESC	Alla dina gängmedlemmar har åkt dit och du har inte tillräckligt med pengar för att betala borgen.
0	AUTO	CUST_VINYL_INNER_GLOW_0	Inre linjeglöd
0	AUTO	MARKER_NAME_BRAKES	Unik bromsuppgradering
0	AUTO	CUST_VINYL_GROUP_CAMOUFLAGE	KAMOUFLAGE
0	AUTO	CARNAME_JAGUAR_XK	Jaguar XK
0	AUTO	DEF_RACE_INFO_OWNERSHIP	Ägare:
0	AUTO	CUST_PERF_MENU_TIRES	DÄCK
0	AUTO	CUST_PERF_MENU_TURBO	TURBO
0	AUTO	CUST_PERF_MENU_TRANSMISSION	VÄXELLÅDA
0	AUTO	CARNAME_PORSCHE_CARRERA_GT	Porsche Carrera GT
0	AUTO	MARKER_NAME_CHASSI	Unik fjädringsupgradering
0	AUTO	STAT_INFRACTIONS_TOTAL	Överträdelser (totalt)
0	AUTO	MARKER_NAME_DESCRIPTION_PINKSLIP	Du fick just ägarbeviset till gängledarens bil. Nästa gång du kommer till ditt tillhåll väntar bilen på dig där.
0	AUTO	CAR_SELECT_BUY_CAR	Köp bil
0	AUTO	CAR_SELECT_DIALOG_GARAGE_FULL_NOTIFICATION	Ditt garage är fullt. Sälj några bilar om du vill göra plats för fler.
0	AUTO	CHAL_CREW_CHALLENGE	Samarbetsutmaning
0	AUTO	MARKER_NAME_DECALS	Unik dekaluppgradering
0	AUTO	MENU_CAREER_SAVE_LOAD	SPARA
0	AUTO	CARNAME_BMW_M3_GTRE46	BMW M3 GTR
0	AUTO	LANG_POLISH_NO_TRANSLATION	POLSKI
0	AUTO	STAT_TOTAL_CASH	Total pengasumma
0	AUTO	CHALLENGE_SERIES_DESC_079	Besegra en lätt motståndare i en Canyonduell på Journeyman's Bane.
0	AUTO	CHALLENGE_SERIES_DESC_080	Besegra en medelbra motståndare i en Canyonduell på Gold Valley.
0	AUTO	CHALLENGE_SERIES_DESC_081	Besegra en svår motståndare i en Canyonduell på Eternity Pass.
0	AUTO	CHALLENGE_SERIES_DESC_082	Vinn ett Canyonrace på Gold Valley mot lätta motståndare.
0	AUTO	CHALLENGE_SERIES_DESC_083	Vinn ett Canyonrace på Copper Ridge mot medelbra motståndare.
0	AUTO	CHALLENGE_SERIES_DESC_084	Vinn ett Canyonrace på Deadfall Junction mot svåra motståndare.
0	AUTO	CHALLENGE_SERIES_DESC_085	Slutför checkpointracet på Eskuri Plaza på en tid under 3:44 för att vinna.
0	AUTO	CHALLENGE_SERIES_DESC_086	Slutför checkpointracet på Rabinowitz Drive på en tid under 3:02 för att vinna.
0	AUTO	CHALLENGE_SERIES_DESC_087	Slutför checkpointracet på Blackwell Road på en tid under 3:21 för att vinna.
0	AUTO	CHALLENGE_SERIES_DESC_088	Slutför checkpointracet på Lofty Heights på en tid under 2:39 för att vinna.
0	AUTO	CHALLENGE_SERIES_DESC_089	Slutför checkpointracet på Knife's Edge på en tid under 1:25 för att vinna.
0	AUTO	CHALLENGE_SERIES_DESC_090	Slutför checkpointracet på Desperation Ridge på en tid under 1:55 för att vinna.
0	AUTO	CHALLENGE_SERIES_DESC_091	Få mer än 25 000 poäng i den här Canyondriften för att vinna.
0	AUTO	CHALLENGE_SERIES_DESC_092	Få mer än 100 000 poäng i den här Canyondriften för att vinna.
0	AUTO	CHALLENGE_SERIES_DESC_093	Få mer än 150 000 poäng i den här Canyondriften för att vinna.
0	AUTO	CHALLENGE_SERIES_DESC_094	Smit från polisbevakningen efter minst %s minuter för att vinna.
0	AUTO	CHALLENGE_SERIES_DESC_095	Smit från polisbevakningen efter minst %s minuter för att vinna.
0	AUTO	CHALLENGE_SERIES_DESC_096	Smit från polisbevakningen efter minst %s minuter för att vinna.
0	AUTO	CHALLENGE_SERIES_DESC_097	Oskadliggör minst %s polisfordon och smit från förföljarna för att vinna.
0	AUTO	CHALLENGE_SERIES_DESC_098	Oskadliggör minst %s polisfordon och smit från förföljarna för att vinna.
0	AUTO	CHALLENGE_SERIES_DESC_099	Oskadliggör minst %s polisfordon och smit från förföljarna för att vinna.
0	AUTO	CHALLENGE_SERIES_DESC_100	Vinn ett banrace på Dover St mot lätta motståndare.
0	AUTO	CHALLENGE_SERIES_DESC_101	Vinn ett banrace på Ocean View mot medelbra motståndare.
0	AUTO	CHALLENGE_SERIES_DESC_102	Vinn ett banrace på Starlight Street mot svåra motståndare.
0	AUTO	CHALLENGE_SERIES_DESC_103	Vinn ett sprintrace på Condo Row mot lätta motståndare.
0	AUTO	CHALLENGE_SERIES_DESC_104	Vinn ett sprintrace på Kings Park mot medelbra motståndare.
0	AUTO	CHALLENGE_SERIES_DESC_105	Vinn ett sprintrace på Canmor Road mot svåra motståndare.
0	AUTO	CHALLENGE_SERIES_DESC_106	Få mer än 50 000 poäng i driften för att vinna.
0	AUTO	CHALLENGE_SERIES_DESC_107	Få mer än 140 000 poäng i driften för att vinna.
0	AUTO	CHALLENGE_SERIES_DESC_108	Få mer än 250 000 poäng i driften för att vinna.
0	AUTO	CHALLENGE_SERIES_DESC_109	Vinn hastighetskontrollsracet Million Dollar Challenge mot lätta motståndare.
0	AUTO	CHALLENGE_SERIES_DESC_110	Vinn ett hastighetskontrollsrace på Infinity Park mot medelbra motståndare.
0	AUTO	CHALLENGE_SERIES_DESC_111	Vinn ett hastighetskontrollsrace på Eskuri Way mot svåra motståndare.
0	AUTO	CHALLENGE_SERIES_DESC_112	Vinn ett racekrig i Downtown mot lätta motståndare.
0	AUTO	CHALLENGE_SERIES_DESC_113	Vinn ett racekrig i Fortuna mot medelbra motståndare.
0	AUTO	CHALLENGE_SERIES_DESC_114	Vinn ett racekrig i Silverton mot svåra motståndare.
0	AUTO	LANG_GERMAN_NO_TRANSLATION	DEUTSCH
0	AUTO	OL_BUTTON_TIME_PERIOD	Tidsperiod
0	AUTO	CLASS_TUNER_DESCRIPTION	Trimbilar är optimerade för snabb och exakt väghållning. ^Vad en trimbil förlorar på rakan tar den igen mer än väl ^när det börjar svänga lite. Du kan lita på väghållningen, trycka ^plattan i mattan i kurvorna och lämna motståndaren i diket.
0	AUTO	CUST_VISUAL_RIMS_WARNING	Du måste ha en icke standardfälg för att kunna måla den
0	AUTO	STAT_COPS_DISABLED_SINGLE	Oskadliggjorda poliser (en jakt)
0	AUTO	CUST_MAINMENU_RIDE_HEIGHT	MARKFRIGÅNG
0	AUTO	MARKER_NAME_ENGINE	Unika motoruppgraderingar
0	AUTO	MC_PROMPT_SAVE_PROFILE	Vill du aktivera autospar och spara ditt alias nu?
0	AUTO	LANG_SPANISH_NO_TRANSLATION	ESPAÑOL
0	AUTO	CUST_PARTS_TOP_TITLE	*SÄNKT TAK*
0	AUTO	CARNAME_FORD_MUSTANGGT	Ford Mustang GT
0	AUTO	STAT_KNOCKOUT_WINS	Knockoutsegrar
0	AUTO	SECONDARY_ROLE_HEAT_MAGNET_DESC	DELETE
0	AUTO	CREW_VINYL_WARNING	Varning. Om du tar bort den här vinylen kan du inte sätta dit den igen. Vill du fortsätta?
0	AUTO	MENU_CAREER_CREW	GÄNG
0	AUTO	MENU_CAREER_LOAD	LADDA
0	AUTO	CUST_PARTS_REARBUMPER	BAKRE KOFÅNGARE
0	AUTO	CUST_CHANGE_PAINT_SWATCH	FÄRGPEKARE
0	AUTO	SHOPPING_CART_DLG_DELETE_ALL	Du är på väg att tömma din kundvagn. Är du säker på att du vill fortsätta?
0	AUTO	DEBUG_ARRAYSCROLLER	Array Scroller
0	AUTO	STAT_PEAK_SCORE	Toppoäng
0	AUTO	PART_KIT10_REAR_BUMPER	KLASSISKT
0	AUTO	STAT_BEST_PERCENT_AS_RACER	Bästa procent som racer
0	AUTO	CARNAME_LAMBORGHINI_GALLARDO	Lamborghini Gallardo
0	AUTO	STAT_BOUNTY_SINGLE	Belöning (en jakt)
0	AUTO	MC_AUTOSAVE_WARNING2_XENON	Stäng inte av din Xbox 360-konsol så länge autosparikonen visas.
0	AUTO	VINYLS_MEMORY_WARNING	Du kan inte lägga till flera lager. Du har nått den maximalt tillåtna gränsen.
0	AUTO	CUST_EXHAUST_WARNING	Avgasrör kräver en specialtillverkad kofångare
0	AUTO	CUST_PARTS_ROOFSCOOPS	TAKGÄLAR
0	AUTO	PART_KIT04_REAR_BUMPER	BORRILLO
0	AUTO	OL_SUBTITLE_GAME_TAG	Gamertag
0	AUTO	MC_AUTOSAVE_WARNING2_PS2	Ta inte ur ditt memory card (PS2) eller handkontrollen och tryck inte på reset/stäng inte av basenheten när autosparikonen visas. Spelinformation kan bli skadad.
0	AUTO	MC_AUTOSAVE_WARNING2_PS3	
0	AUTO	CUST_PAINT_GROUP_CANDY	CANDYEFFEKTER
0	AUTO	CUST_PAINT_GROUP_GLOSS	POLERING
0	AUTO	CUST_PARTS_SPOILERS_TITLE	*SPOILRAR*
0	AUTO	COMMON_RACETYPE_PURSUIT_TAG	Jaktbyte
0	AUTO	CUST_PAINT_GROUP_MATTE	MATT
0	AUTO	OL_BUTTON_RACE_TYPE	Racetyp
0	AUTO	CROSS_SELL_MADDEN07	MADDEN NFL 07
0	AUTO	CUST_PAINT_GROUP_PEARL	PÄRLEMOR
0	AUTO	QR_NOT_ONLINE_FOR_GHOST	Du måste vara inloggad på ditt EA-konto för att kunna hämta en skuggbil från EA Nations ledartavla. Du kan logga in manuellt med hjälp av onlinealternativen.
0	AUTO	TITLE_STATISTICS	*STATISTIK*
0	AUTO	STAT_HIGHEST_FINE	Högsta böter
0	AUTO	EA_TRAX_CAR_CLASS_FILTER_USE	Spellägesspecifik
0	AUTO	WII_OPT_ERROR	
0	AUTO	MC_AUTOSAVE_WARNING_XBOX	Need for Speed™ Carbon innehåller en autosparfunktion. Spelinformation sparas automatiskt på din hårddisk när autosparikonen visas.
0	AUTO	WINGMAN_DESC_RACE_SAMSON	+10%% kontant bonus per seger^
0	AUTO	CUST_VINYL_GROUP_PINSTRIPE	FARTRÄNDER
0	AUTO	PART_KIT04_SKIRT	BORRILLO
0	AUTO	CHAL_CREW_MODE_ONLINE	Online
0	AUTO	PART_WHEEL_GIOVANNA_1	GIOVANNA BRAKE
0	AUTO	PART_WHEEL_GIOVANNA_2	GIOVANNA GELLO
0	AUTO	PART_WHEEL_GIOVANNA_3	GIOVANNA ARARAT
0	AUTO	FABRICATOR_2_POPUP	Lägg till Colin i ditt gäng för att kunna anpassa dessa Autosculptsaker.
0	AUTO	PART_WHEEL_ADR_1	ADR ADRENALINE
0	AUTO	PART_WHEEL_ADR_2	ADR EMPIRE
0	AUTO	PART_WHEEL_ADR_3	ADR GT-SPORT
0	AUTO	PART_WHEEL_ADR_4	ADR M SPORT
0	AUTO	PART_WHEEL_ADR_5	ADR SOKUDO8
0	AUTO	PART_WHEEL_BBS_1	BBS GT
0	AUTO	PART_WHEEL_BBS_2	BBS RS GT
0	AUTO	PART_WHEEL_BBS_3	BBS LM
0	AUTO	PART_WHEEL_BBS_4	BBS CH
0	AUTO	PART_WHEEL_BBS_5	BBS RK
0	AUTO	PART_WHEEL_BBS_6	BBS RX
0	AUTO	QR_ERROR_DOWNLOADING_GHOST_DATA	Ett fel uppstod när skuggbilen hämtades
0	AUTO	PART_WHEEL_HRE_1	HRE 943R
0	AUTO	PART_WHEEL_HRE_2	HRE 541R
0	AUTO	PART_WHEEL_HRE_3	HRE 549R
0	AUTO	OL_BUTTON_PLAYER_FILTER	Spelarfilter
0	AUTO	MENU_QUICKRACE_OPTIONS_WINGMEN	Gängmedlem
0	AUTO	PART_WHEEL_TSW_1	TSW MONDELLO
0	AUTO	PART_WHEEL_TSW_2	TSW ROCKET 5
0	AUTO	PART_WHEEL_TSW_3	TSW LAGUNA
0	AUTO	ON_ERROR_BAD_USERNAME	Användarnamnet är ogiltigt! Det måste vara mellan 4 och 14 tecken långt, inklusive blanksteg. Bokstäver, siffror och blanksteg är giltiga som tecken.
0	AUTO	STAT_COST_TO_STATE_SINGLE	Kostnad för staten (en jakt)
0	AUTO	CHAL_SPLIT_MODE_TRANSMISSION_PROMPT	%s, vill du köra med manuell eller automatväxlad låda?
0	AUTO	WINGMAN_DESC_CAREER_NEVILLE	+200 i kontant bonus per seger^
0	AUTO	MARKER_CATEGORY_DESC_PARTS	Markerna kan inkludera uppgraderingar för karosskit, takgälar, fälgar, motorhuvar och spoilrar.
0	AUTO	MC_CONFIRM_CREATE_PROFILE_AUTOLOGIN	Vill du skapa ett nytt alias för att spara autoinloggningsinformation?
0	AUTO	CREW_MENU_VIEW_BIO_VIDEO	Visa presentationsvideo
0	AUTO	STAT_BEST_DRIFT_DISTANCE	Längsta sladdsträcka
0	AUTO	CARNAME_RENAULT_CLIO	Renault Clio V6
0	AUTO	ON_PC_MSG_GAMESETUP_INSTRUCTION	I spelinställningsskärmen kan du skicka privata spelinbjudningar till dina vänner, välja bilar och chatta med andra spelare. Spelledaren kan ställa in spelalternativen och sen trycka MELLANSLAG för att fortsätta till spelrummet. Om ett race inte har börjat kan andra spelare ansluta sig till spelrummet för att delta.
0	AUTO	STAT_PERC_AS_RACER	%% som racer
0	AUTO	CARNAME_TOYOTA_SUPRA	Toyota Supra
0	AUTO	CUST_PARTS_DIALOG_TITLE	Välj en standard- eller Autosculpt-del
0	AUTO	MC_CONFIRM_DESTRUCTIVE_LOAD	Om du laddar ett nytt alias försvinner alla ändringar som inte sparats till ditt aktuella alias. Är du säker på att du vill ladda ett nytt alias?
