#	Labrune - D:\Games\NFS Carbon\LANGUAGES\Hungarian_Frontend.bin
#	File created on: 2025-05-10 15:27:27
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	CUST_VINYLS_TRANSFORM_TITLE	*FÓLIA ÁTALAKÍTÁSA*
0	AUTO	ON_STAT_HEADER_KNOCKOUTS	Kiesések
0	AUTO	MENU_CREW_LOGO	CSAPATLOGÓ
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	MARKER_CATEGORY_DESC_MISC	Ezek a kártyák készpénzbónuszokat, Szabad elvonulás kártyákat, büntetéshatár-kitolásokat tartalmazhatnak, vagy az éppen megvert főnökautó papírjait.
0	AUTO	DEMO_CUSTOMIZATION_SELL	Az Autosculpt™ lehetővé teszi a verda testreszabását saját készítésű alkatrészekkel.^Módosíthatod a karosszériaelemeket, a kerekeket, a motorháztetőt, a légterelőket és a tetőnyílást, hogy pontosan az általad kívánt alkatrész jöjjön létre.^A testreszabás nem csupán ennyiből áll. Fújj a kocsira saját festést, alkalmazz saját fóliákat, matricákat, és változtass kedvedre a kocsi jellemzőin, így kialakítva Csapatod egyedi Tuning, Izom vagy Egzotikum stílusát.
0	AUTO	CHAL_COMPLETED	Teljesítve
0	AUTO	MC_CONFIRM_CREATE_PROFILE	Új személyiséget hozol létre? Ha nem hozol létre új személyiséget, a változtatások elveszhetnek.
0	AUTO	CHAL_SELECT_CREW_MODE	Kooperatív kihívás mód választása
0	AUTO	CUST_PARTS_WHEELS_TITLE	*KEREKEK*
0	AUTO	MARKER_NAME_TRANSMISSION	Egyedi sebváltóalkatrészek
0	AUTO	CUST_VINYLS_COLOUR_TITLE	*FÓLIAFESTÉS*
0	AUTO	CARNAME_DODGE_VINTAGE_CHARGER69	Dodge Charger R/T
0	AUTO	SHOPPING_CART_DLG_NO_CASH	Nincs elég pénzed az összes alkatrész megvásárlására. Kérjük, törölj néhány tételt.
0	AUTO	CARNAME_MERCEDES_CLK500	Mercedes-Benz CLK 500
0	AUTO	LANG_FINNISH	Finn
0	AUTO	MARKER_NAME_DESCRIPTION_HUD	Egyedi műszerek bármelyik autódra.
0	AUTO	MARKER_NAME_DESCRIPTION_NOS	Egyedi nitrórendszer bármelyik kocsidra.
0	AUTO	STAT_PERC_AS_POLICE	%% rendőrként
0	AUTO	HELP_RACE	Verseny
0	AUTO	RC_WIN_05_CAREER_RACES_DESCRIPTION	Meg kell nyerned öt versenyt Karriermódban
0	AUTO	CHAL_SOLO_CHALLENGE	Egyéni kihívás
0	AUTO	MENU_MAIN_TITLE_CAREER	*KARRIER*
0	AUTO	STAT_NUM_TIMES_BUSTED	Letartóztatások száma
0	AUTO	CUST_PARTS_WHEELS	KEREKEK
0	AUTO	STAT_NUM_CREW_MEMEBERS_HIRED	Felvett csapattagok
0	AUTO	MARKER_NAME_DESCRIPTION_CASH	Extra %$d pénzjutalmat kaptál.
0	AUTO	MARKER_NAME_DESCRIPTION_HOOD	Egyedi motorháztető bármelyik autódra.
0	AUTO	MARKER_NAME_DESCRIPTION_RIMS	Egyedi kerekek bármelyik autódra.
0	AUTO	MARKER_NAME_DESCRIPTION_TIRE	Egyedi gumik bármelyik autódra.
0	AUTO	PART_KIT01_FRONT_BUMPER	STAG
0	AUTO	LANG_HUNGARIAN_NO_TRANSLATION	MAGYAR
0	AUTO	MC_CREATE	Létrehozás
0	AUTO	CUST_RIDE_HEIGHT_DROP	Hasmagasság csökkentése
0	AUTO	HELP_CAREER_CONTROLS	Karrierbeállítások
0	AUTO	PART_KIT07_SKIRT	SLIPSTREAM
0	AUTO	MENU_CREW_STYLE	CSAPATSTÍLUS
0	AUTO	POST_RACE_PURSUIT_STATS	Üldözési statisztikák
0	AUTO	MC_DELETE	Törlés
0	AUTO	MENU_QUICKRACE_GHOST_TIME	Edzőautó eredménye
0	AUTO	CUST_VINYL_GRADIENT_0_0	SZÍN 0
0	AUTO	CUST_VINYL_GRADIENT_1_0	SZÍN 1
0	AUTO	RC_NAME_104	10 zsaru
0	AUTO	LANG_SWEDISH	Svéd
0	AUTO	PART_KIT07_REAR_BUMPER	SLIPSTREAM
0	AUTO	MARKER_NAME_PAINT	Egyedi festés
0	AUTO	GAME_OVER_WINGMEN_BUSTED_DESC	Minden csapattagod elkapták, és nincs elég pénzed, hogy kifizesd értük az óvadékot.
0	AUTO	CUST_VINYL_INNER_GLOW_0	BELSŐ FÉNY
0	AUTO	MARKER_NAME_BRAKES	Egyedi fékek
0	AUTO	CUST_VINYL_GROUP_CAMOUFLAGE	TEREPSZÍN
0	AUTO	CARNAME_JAGUAR_XK	Jaguar XK
0	AUTO	DEF_RACE_INFO_OWNERSHIP	Tulajdon:
0	AUTO	CUST_PERF_MENU_TIRES	GUMIK
0	AUTO	CUST_PERF_MENU_TURBO	TURBÓ
0	AUTO	CUST_PERF_MENU_TRANSMISSION	SEBVÁLTÓ
0	AUTO	CARNAME_PORSCHE_CARRERA_GT	Porsche Carrera GT
0	AUTO	MARKER_NAME_CHASSI	Egyedi felfüggesztés-alkatrész
0	AUTO	STAT_INFRACTIONS_TOTAL	Kihágások (összes)
0	AUTO	MARKER_NAME_DESCRIPTION_PINKSLIP	Elnyerted a főnökkocsi papírjait. Ha legközelebb a Rejtekhelyre mész, az autót ott találod.
0	AUTO	CAR_SELECT_BUY_CAR	Autó megvásárlása
0	AUTO	CAR_SELECT_DIALOG_GARAGE_FULL_NOTIFICATION	Tele van a garázs. El kell adnod pár kocsit, hogy legyen hely újaknak.
0	AUTO	CHAL_CREW_CHALLENGE	Kooperatív kihívás
0	AUTO	MARKER_NAME_DECALS	Egyedi matricák
0	AUTO	MENU_CAREER_SAVE_LOAD	MENTÉS
0	AUTO	CARNAME_BMW_M3_GTRE46	BMW M3 GTR
0	AUTO	LANG_POLISH_NO_TRANSLATION	POLSKI
0	AUTO	STAT_TOTAL_CASH	Összes megkeresett pénz
0	AUTO	CHALLENGE_SERIES_DESC_079	Győzz le az Elátkozott Úton egy könnyű ellenfelet Kanyonpárbajban!
0	AUTO	CHALLENGE_SERIES_DESC_080	Győzz le egy közepes ellenfelet a Gold Valley-i Kanyonpárbajban!
0	AUTO	CHALLENGE_SERIES_DESC_081	Győzz le egy kemény ellenfelet Kanyonpárbajban az Eternity Hágónál!
0	AUTO	CHALLENGE_SERIES_DESC_082	Nyerj Kanyonversenyt Gold Valley-ben könnyű ellenfelekkel szemben!
0	AUTO	CHALLENGE_SERIES_DESC_083	Nyerj Kanyonversenyt közepes ellenfelekkel szemben a Copper Hegygerincen!
0	AUTO	CHALLENGE_SERIES_DESC_084	Nyerj Kanyonversenyt kemény ellenfelekkel szemben a Deadfall Elágazásnál!
0	AUTO	CHALLENGE_SERIES_DESC_085	Haladj át az Eskuri Plaza Ellenőrzőpontjain 3:44 percnél rövidebb idő alatt, és győzöl!
