#	Labrune - D:\Games\Soapbox World\Game Files\LANGUAGES\Spanish_Global.bin
#	File created on: 2025-05-10 17:47:10
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	GAME_ACTION_CREWDEFENSIVE	ACTIVAR MIEMBRO DEL EQUIPO
0	AUTO	SKILLNAME_EXPLORER	EXPLORADOR
0	AUTO	TXT_TUTRL_PWRUPRACE	EN CARRERA: consigue propulsión de velocidad, bloquea a tus rivales con el tráfico o añade una vuelta más para dar caza al líder.
0	AUTO	NFSW_FORD_12MUSTBOSS_HEADER2	¡Compite como un jefe!
0	AUTO	TTRL_FIRSTDRIVER_1	Lo primero que tienes que hacer es crear un piloto.\n\nTu piloto es tu álter ego en el mundo de las carreras callejeras. De ti depende si quieres competir contra otros pilotos, acumular alucinantes supercoches y personalizarlos a tu gusto para alcanzar la fama y la gloria.\n\nDebes elegir una imagen y un nombre exclusivos para tu piloto, ¡así que ponte las pilas!
0	AUTO	TTRL_FIRSTDRIVER_2	Puede tener hasta 14 caracteres y es exclusivo para cada jugador.
0	AUTO	TTRL_FIRSTDRIVER_3	Haz clic en las flechas para buscar la imagen que quieres y selecciónala.
0	AUTO	TTRL_FIRSTDRIVER_4	Una vez elegido un nombre y una imagen, haz clic aquí y crea tu piloto.
0	AUTO	NFSW_A1_Custom_Header1	AUDI A1 CLUBSPORT QUATTRO PERSONALIZADO
0	AUTO	NFSW_A1_Custom_Header2	¡INSPIRACIÓN Y DISEÑO DE FÁBRICA!
0	AUTO	TXT_SYSCHT_SCOPE_BROADCAST	DIFUSIÓN
0	AUTO	TXT_CNM_ZONE_LOWERING_KIT	KIT REGULADOR
0	AUTO	TXT_CMN_OPTIONS_BTN_RBRACKET	]
0	AUTO	TXT_CMN_BRKEREV	FRENAR/MARCHA ATRÁS
0	AUTO	PRESETCAR_DESCRIPTION_BMW_M3_E46_1	DUKE
0	AUTO	PRESETCAR_DESCRIPTION_BMW_M3_E46_2	PEDIGRÍ
0	AUTO	TXT_POWUP_READY	¡A PUNTO!
0	AUTO	TLE_SH_POPUP_CANNOT_REFRESH_CATALOG	ERROR EN EL SERVIDOR
0	AUTO	TXT_NEWS_RACE_WON_FRIEND	[{0:s}] acaba de ganar una carrera multijugador por primera vez.
0	AUTO	TXT_CMN_MEDIUM	MEDIO
0	AUTO	TXT_TLTP_VIDSET_RAIN	ACTIVAR O DESACTIVAR EL EFECTO DE LLUVIA
0	AUTO	MSG_PUP_TRAFFIC_MAGNET	IMÁN DE TRÁFICO
0	AUTO	CMN_SKILL_MOD_SHOP	TALLER HABILIDAD
0	AUTO	TOOL_TIP_WALDO_FLIP_DOWN	VOLTEAR VINILO ABAJO
0	AUTO	PARTMANU_GROMLEN	GROMLEN
0	AUTO	TOOL_TIP_WALDO_FLIP_LEFT	VOLTEAR VINILO IZQUIERDA
0	AUTO	TXT_LBL_NEWS_FILTER_DISPLAY	MOSTRAR:
0	AUTO	PRESETCAR_DESCRIPTION_LAM_GALL09_1	ALFOMBRA ROJA
0	AUTO	PRESETCAR_DESCRIPTION_LAM_GALL09_2	GRAFITO
0	AUTO	TXT_POPUP_BUYCARFAIL_INSUFFICIENTFUNDS	EN ESTE MOMENTO NO TIENES SUFICIENTE DINERO O ¤BOOST PARA COMPRAR ESTE COCHE.
0	AUTO	TXT_SOCL_FR_ATSCREENNAMES	Introduce "@" delante de los nombres de pantalla.
0	AUTO	TXT_NEWS_CARDPACK_COUNTRY_HEADER	OFERTA EXCLUSIVA DEL PACK PAÍS
0	AUTO	TXT_BOOT_LOAD_GLOBALS	CONJUNTO DE DATOS ACTUALIZADO
0	AUTO	NFSW_IS-F_Beauty1.0_header1	¡REGRESA LA BELLA A NFSW!
0	AUTO	NFSW_IS-F_Beauty1.0_header2	¡ELECCIÓN DEL COLECCIONISTA!
0	AUTO	TXT_PRFL_SPIKES_DODGED	CLAVOS EVITADOS
0	AUTO	NFSW_LAMB_SECOP_HEADER1	¡El coche de policía más rápido!
0	AUTO	CMN_OFFR_NEW_CAR	COCHE NUEVO
0	AUTO	TXT_LUCKYBOX_SELECT_CARD	ELIGE UNA CARTA
0	AUTO	TXT_FILTER_ALL	TODAS
0	AUTO	TXT_LBL_MAPEVENT_WARPTORACE	TELETRANSPORTE
0	AUTO	NFSW_treasure1_header1	¡COMPLETA LA CAZA!
0	AUTO	NFSW_treasure1_header2	EL "CAZATESOROS" YA ESTÁ AQUÍ
