#	Labrune - D:\Games\NFS Carbon\LANGUAGES\Chinese_Simp_Global.bin
#	File created on: 2025-05-10 14:52:20
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	HD	高解析度
0	AUTO	GAME_ACTION_CREWDEFENSIVE	激活队员
0	AUTO	PART_PERF_NITROUS_1	干射氮气组件
0	AUTO	PART_PERF_NITROUS_2	氮气净化组件
0	AUTO	PART_PERF_NITROUS_3	10磅氮气瓶
0	AUTO	PART_PERF_NITROUS_4	湿射氮气组件
0	AUTO	PART_PERF_NITROUS_5	氮气瓶加热器
0	AUTO	PART_PERF_NITROUS_6	15磅氮气瓶
0	AUTO	PART_PERF_NITROUS_7	直口氮气组件
0	AUTO	PART_PERF_NITROUS_8	氮气压力控制器
0	AUTO	PART_PERF_NITROUS_9	20磅氮气瓶
0	AUTO	VINYL_PART_AFTERMARKET_INTRAX	INTRAX
0	AUTO	CARNAME_NISSAN_240SX	Nissan 240 SX
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	AUTO	RCO_REWARD_001	Pontiac GTO
0	AUTO	RCO_REWARD_002	地狱涂饰
0	AUTO	RCO_REWARD_003	电动4涂饰
0	AUTO	RCO_REWARD_004	BBS RX轮胎
0	AUTO	RCO_REWARD_005	洛斯科里布斯涂饰
0	AUTO	RCO_REWARD_006	BBS CH轮胎
0	AUTO	RCO_REWARD_007	BBS LM轮胎
0	AUTO	RCO_REWARD_008	Toyota MR2
0	AUTO	RCO_REWARD_009	哦！喷涂！
0	AUTO	RCO_REWARD_010	Porsche 911 GT3 RS
0	AUTO	SMS_MESSAGE_032_SUBJECT	追踪
0	AUTO	VINYL_PART_MANUFACTURER_CORVETTE	CORVETTE
0	AUTO	DEMO_CUSTOMIZATION_ZOOM	缩放
0	AUTO	STAT_NUM_TIMES_RACED	玩过的次数
0	AUTO	TIP_CREWS_HEADER	管理队员
0	AUTO	PART_SPOILER_0	原厂
0	AUTO	PART_SPOILER_1	JORGEN
0	AUTO	PART_SPOILER_2	ROCKER 5
0	AUTO	PART_SPOILER_3	AIRFORCE
0	AUTO	PART_SPOILER_4	ARROW
0	AUTO	PART_SPOILER_5	BARRACUDA
0	AUTO	PART_SPOILER_6	WILDFIRE
0	AUTO	PART_SPOILER_7	RIPPER
0	AUTO	PART_SPOILER_8	REAPER
0	AUTO	PART_SPOILER_9	BORRA
0	AUTO	COMMON_LOCATION_HIDING_SPOT	隐藏点
0	AUTO	UNLOCKABLE_INFINITE_SPEEDBREAKER	大量的减速器！
0	AUTO	VINYL_PART_AFTERMARKET_CLUTCHMASTERS	CLUTCHMASTERS
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	Русский
0	AUTO	VINYL_PART_AFTERMARKET_KAIZER	KAIZER
