#	Labrune - D:\Games\NFS Carbon\LANGUAGES\Finnish_Frontend.bin
#	File created on: 2025-05-10 15:25:53
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	CUST_VINYLS_TRANSFORM_TITLE	*TARRANMUOKKAUS*
0	AUTO	ON_STAT_HEADER_KNOCKOUTS	Pudotuskisat
0	AUTO	MENU_CREW_LOGO	JENGIN TUNNUS
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	MARKER_CATEGORY_DESC_MISC	Yllätyskortit voivat olla käteisbonuksia, vapautuskortteja, lunastuskortteja tai vastustajilta voitettujen autojen rekisteriotteita.
0	AUTO	DEMO_CUSTOMIZATION_SELL	Autosculpt™-toiminnon avulla voit luoda omia osiasi ja muokata niillä kärryäsi.^Voit muokata korisarjoja, vanteita, konepeltejä, spoilereita ja kattoja ja tehdä niistä juuri sellaisia kuin haluat.^Muokkausvaihtoehdot eivät lopu siihen, vaan lisäksi voit vetää kärrysi pintaan oman maalin, lisätä siihen omat tarrat ja kuviot, sekä asentaa suorituskykyä parantavia osia, joiden avulla voit luoda itsellesi oman, persoonallisen tuunaus-, kiihdytys- tai tuontikärrysi.
0	AUTO	CHAL_COMPLETED	Ajettu
0	AUTO	MC_CONFIRM_CREATE_PROFILE	Haluatko luoda uuden kuljettajan? Jos et luo uutta kuljettajaa, tallentamattomat muutokset menetetään.
0	AUTO	CHAL_SELECT_CREW_MODE	Valitse haluamasi yhteishaaste
0	AUTO	CUST_PARTS_WHEELS_TITLE	*VANTEET*
0	AUTO	MARKER_NAME_TRANSMISSION	Voimansiirtoparannus
0	AUTO	CUST_VINYLS_COLOUR_TITLE	*TARROJEN VÄRI*
0	AUTO	CARNAME_DODGE_VINTAGE_CHARGER69	Dodge Charger R/T
0	AUTO	SHOPPING_CART_DLG_NO_CASH	Rahasi eivät riitä kaikkien osien ostamiseen. Poista ostoksistasi joitakin osia.
0	AUTO	CARNAME_MERCEDES_CLK500	Mercedes-Benz CLK 500
0	AUTO	LANG_FINNISH	Suomi
0	AUTO	MARKER_NAME_DESCRIPTION_HUD	Oma mittari johonkin autoistasi.
0	AUTO	MARKER_NAME_DESCRIPTION_NOS	Boostiparannus johonkin autoistasi.
0	AUTO	STAT_PERC_AS_POLICE	Poliisina
0	AUTO	HELP_RACE	Kilpamalli
0	AUTO	RC_WIN_05_CAREER_RACES_DESCRIPTION	Voita viisi urapelin kisaa
0	AUTO	CHAL_SOLO_CHALLENGE	Soolohaaste
0	AUTO	MENU_MAIN_TITLE_CAREER	*URA*
0	AUTO	STAT_NUM_TIMES_BUSTED	Pidätyskerrat
0	AUTO	CUST_PARTS_WHEELS	VANTEET
0	AUTO	STAT_NUM_CREW_MEMEBERS_HIRED	Värvättyjä jengin jäseniä
0	AUTO	MARKER_NAME_DESCRIPTION_CASH	Sait juuri %$d ylimääräistä rahaa.
0	AUTO	MARKER_NAME_DESCRIPTION_HOOD	Uusi konepeltiparannus haluamaasi autoon.
0	AUTO	MARKER_NAME_DESCRIPTION_RIMS	Vanneparannus johonkin autoistasi.
0	AUTO	MARKER_NAME_DESCRIPTION_TIRE	Rengasparannus johonkin autoistasi.
0	AUTO	PART_KIT01_FRONT_BUMPER	STAG
