#	Labrune - D:\Games\Soapbox World\Game Files\LANGUAGES\Turkish_Global.bin
#	File created on: 2025-05-10 17:47:26
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	GAME_ACTION_CREWDEFENSIVE	EKİP ÜYESİNİ ETKİNLEŞTİR
0	AUTO	SKILLNAME_EXPLORER	KAŞİF
0	AUTO	TXT_TUTRL_PWRUPRACE	BİR YARIŞTA: Bir hız desteği kazanın, rakiplerinizi trafik ile engelleyin ya da lideri yakalamak için başka bir tur daha ekleyin.
0	AUTO	NFSW_FORD_12MUSTBOSS_HEADER2	Bir Patron Gibi Yarışın!
0	AUTO	TTRL_FIRSTDRIVER_1	İlk yapmanız gereken şey yeni bir Sürücü oluşturmak.\n\nSürücünüz, bir sokak yarışçısı olarak kim olduğunuzu gösterir. Diğer Sürücülerle yarışarak meşhur olmak, hayranlık verici süper arabaların koleksiyonunu yapmak ve onları istediğiniz gibi özelleştirmek sizin elinizde\n\nSürücünüz için benzersiz bir isim ve resim seçmelisiniz, o halde haydi başlayalım.
0	AUTO	TTRL_FIRSTDRIVER_2	Sürücü isimleri 14 karaktere kadar olabilir ve size özel olacaktır.
0	AUTO	TTRL_FIRSTDRIVER_3	Okları kullanarak istediğinizi seçin.
0	AUTO	TTRL_FIRSTDRIVER_4	İsmi ve resmi seçtikten sonra Sürücünüzü oluşturmak için tıklayın.
0	AUTO	NFSW_A1_Custom_Header1	AUDI A1 CLUBSPORT QUATTRO
0	AUTO	NFSW_A1_Custom_Header2	FABRİKA TASARIMLI VE ESİNLİ!
0	AUTO	TXT_SYSCHT_SCOPE_BROADCAST	YAYIN
0	AUTO	TXT_CNM_ZONE_LOWERING_KIT	ALÇALTMA KİTİ
0	AUTO	TXT_CMN_OPTIONS_BTN_RBRACKET	]
0	AUTO	TXT_CMN_BRKEREV	FREN / GERİ VİTES
0	AUTO	PRESETCAR_DESCRIPTION_BMW_M3_E46_1	DÜK
0	AUTO	PRESETCAR_DESCRIPTION_BMW_M3_E46_2	SAFKAN
0	AUTO	TXT_POWUP_READY	HAZIR!
0	AUTO	TLE_SH_POPUP_CANNOT_REFRESH_CATALOG	SUNUCU HATASI
0	AUTO	TXT_NEWS_RACE_WON_FRIEND	[{0:s}] ilk defa çok oyunculu bir yarış kazandı.
0	AUTO	TXT_CMN_MEDIUM	ORTA
0	AUTO	TXT_TLTP_VIDSET_RAIN	YAĞMUR EFEKTİ AÇMA YA DA KAPAMA ARASINDA GEÇİŞ YAP
0	AUTO	MSG_PUP_TRAFFIC_MAGNET	TRAFİK MIKNATISI
0	AUTO	CMN_SKILL_MOD_SHOP	BECERİ ATÖLYESİ
0	AUTO	TOOL_TIP_WALDO_FLIP_DOWN	VİNİLİ AŞAĞI ÇEVİR
0	AUTO	PARTMANU_GROMLEN	GROMLEN
0	AUTO	TOOL_TIP_WALDO_FLIP_LEFT	VİNİLİ SOLA ÇEVİR
0	AUTO	TXT_LBL_NEWS_FILTER_DISPLAY	GÖSTER:
0	AUTO	PRESETCAR_DESCRIPTION_LAM_GALL09_1	KIRMIZI HALI
0	AUTO	PRESETCAR_DESCRIPTION_LAM_GALL09_2	GRAFİT
0	AUTO	TXT_POPUP_BUYCARFAIL_INSUFFICIENTFUNDS	BU ARABAYI SATIN ALMAK İÇİN YETERLİ NAKİT YA DA ¤DESTEĞİNE SAHİP DEĞİLSİNİZ.
0	AUTO	TXT_SOCL_FR_ATSCREENNAMES	Bütün Ekran İsimlerinin önüne "@" koyun.
0	AUTO	TXT_NEWS_CARDPACK_COUNTRY_HEADER	ÜLKE PAKETİ ÖZEL TEKLİF
0	AUTO	TXT_BOOT_LOAD_GLOBALS	VERİ SETİ GÜNCELLENDİ
0	AUTO	NFSW_IS-F_Beauty1.0_header1	GÜZELLİK NFSW'DE DÖNÜYOR!
0	AUTO	NFSW_IS-F_Beauty1.0_header2	GERÇEK BİR ARABA KOLEKSİYONCUSU SEÇİMİ!
0	AUTO	TXT_PRFL_SPIKES_DODGED	KAPANLAR
0	AUTO	NFSW_LAMB_SECOP_HEADER1	Gelmiş Geçmiş En Hızlı Polis!
0	AUTO	CMN_OFFR_NEW_CAR	YENİ ARABA
0	AUTO	TXT_LUCKYBOX_SELECT_CARD	BİR KART SEÇİN
0	AUTO	TXT_FILTER_ALL	HEPSİ
0	AUTO	TXT_LBL_MAPEVENT_WARPTORACE	IŞINLAN
0	AUTO	NFSW_treasure1_header1	AVINIZI FETHEDİN!
0	AUTO	NFSW_treasure1_header2	"HAZİNE AVCISI" GELDİ
0	AUTO	TXT_TIER_1_REQUIRED	(1 SIRA GEREKİYOR)
0	AUTO	TXT_CHAT_LANG_ENGLISH	İNGİLİZCE
0	AUTO	TXT_CMN_DRIVERSEARCH	SÜRÜCÜ ARAMA
0	AUTO	TXT_POWUP_INSTANT_COOLDOWN	ANINDA BEKLEME
0	AUTO	TXT_NEWS_WEEKLYCARSALES_HEADER	SEÇİLİ ARABALAR ŞİMDİ İNDİRİMDE
0	AUTO	TXT_BOOSTGDT_INFO_BTN	¤ DESTEĞİ NEDİR?
0	AUTO	SERVERERROR_FATAL_WRONGCLIENTVERSION_TITLE	Hata
0	AUTO	TXT_CHUD_TTP_RACENOW_DISABLED	Şimdi Yarış şu anda etkin değil
0	AUTO	TXT_PRODUCT_TAG_GIFT	HEDİYE
