#	Labrune - D:\Games\NFS Undercover\LANGUAGES\Czech_Global.bin
#	File created on: 2025-05-23 18:34:21
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	CUST_VINYLS_TRANSFORM_TITLE	Proměna polepu
0	AUTO	CARNAME_MUSTANG03_SHORT	'03 Mustang GT
0	AUTO	PART_PERF_NITROUS_1	Dry Shot Nitrous Kit
0	AUTO	PART_PERF_NITROUS_2	Nitrous Purge Kit
0	AUTO	PART_PERF_NITROUS_3	10 lb Nitrous Bottle
0	AUTO	PART_PERF_NITROUS_4	Wet Shot Nitrous Kit
0	AUTO	PART_PERF_NITROUS_5	Nitrous Bottle Heater
0	AUTO	PART_PERF_NITROUS_6	15 lb Nitrous Bottle
0	AUTO	PART_PERF_NITROUS_7	Direct Port Nitrous Kit
0	AUTO	PART_PERF_NITROUS_8	Nitrous Pressure Controller
0	AUTO	PART_PERF_NITROUS_9	20 lb Nitrous Bottle
0	AUTO	VINYL_PART_AFTERMARKET_INTRAX	InTrax Suspension
0	AUTO	CARNAME_NISSAN_240SX	Nissan 240SX (S13)
0	AUTO	CARNAME_CHEVROLET_CORVETTE	CHEVROLET CORVETTE C6
0	AUTO	ON_LOGIN_PASSWORD	Heslo
0	AUTO	MENU_POSTRACE_AVERAGE_DRIFT_LENGTH	PRŮM. DÉLKA
0	AUTO	TIP_DESC_NITROUSDRIFT	Drift vyvoláte následujícím způsobem: Když auto zatáčí, klepněte na tlačítko ruční brzdy. \n\nPro vyvolání nitro-driftu postupujte podobně, jakmile auto zatáčí, aktivujte nitro a kontrujte volantem.
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	AUTO	TIP_DESC_INTHEZONEMULTIPLIER	„Zónový ukazatel“ má násobitel „zónových bodů“. Násobitel začíná na hodnotě 1, která může být až pětinásobná. Čím vyšší je „zónový násobitel“, tím rychleji získáváte body. Násobitel se vrací na počáteční hodnotu na začátku každého závodu/události.
0	AUTO	HUD_CANYON_COLLISION_PENALTY	KOLIZE %$d B.
0	AUTO	TIP_DESC_NITROUSOXIDE	Žádné auto není nitrem vybaveno z výroby, takže nezapomeňte zvolit odpovídající balíček, jakmile nitro odemknete. Používání této funkce při potřebě zrychlovat vám rychle přejde do krve. \n\nUkazatel nitra je na palubní desce umístěn napravo hned vedle rychloměru. Pro aktivaci stiskněte tlačítko. Tlačítko pro aktivaci Nitra přidržujte, aby nedošlo k přerušení dodávky nitra do válců. Až jej nebude potřeba, tlačítko opět uvolněte. Jakmile je nitro jednou aktivováno, bude chvíli trvat, než jej budete moci použít znovu. Tuto dobu můžete zkrátit rychlou jízdou a stylovými manévry, za obojí totiž získáváte zónové body.
0	AUTO	VINYL_PART_MANUFACTURER_CORVETTE	Corvette
0	AUTO	DEMO_CUSTOMIZATION_SELL	Autosculpt™ umožňuje přizpůsobit si auto zhotovením vlastních dílů.\nZa tímto účelem můžete modifikovat karosérie, kola, kapoty, spoilery i střešní sání.\nTo však není vše. Autosculpt umožňuje použít vlastní lak, polepy nebo přidávat další příslušenství. Vytvoříte si tak vlastní identitu přesně podle svých představ.
0	AUTO	DEMO_CUSTOMIZATION_ZOOM	Zoom
0	AUTO	STAT_NUM_TIMES_RACED	Hráno (kolikrát)
0	AUTO	CARNAME_BMWM3_SHORT	M3 E46
0	AUTO	HUD_YOUR_TIME	VÁŠ ČAS:
0	AUTO	PART_SPOILER_0	TOVÁRNÍ
0	AUTO	PART_SPOILER_1	JORGEN
0	AUTO	PART_SPOILER_2	ROCKER 5
0	AUTO	PART_SPOILER_3	AIRFORCE
0	AUTO	PART_SPOILER_4	ARROW
0	AUTO	PART_SPOILER_5	BARRACUDA
0	AUTO	PART_SPOILER_6	WILDFIRE
0	AUTO	PART_SPOILER_7	RIPPER
0	AUTO	PART_SPOILER_8	REAPER
0	AUTO	PART_SPOILER_9	BORRA
0	AUTO	CAREER_EVENT_CTS_10	Způsobte škodu za 10 000 $
