#	Labrune - D:\Games\Soapbox World\Game Files\LANGUAGES\Thai_Global.bin
#	File created on: 2025-05-10 17:47:20
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	GAME_ACTION_CREWDEFENSIVE	ใช้สมาชิกทีม
0	AUTO	SKILLNAME_EXPLORER	นักสำรวจ
0	AUTO	TXT_TUTRL_PWRUPRACE	ในการแข่ง: เพิ่มความเร็ว ขวางคู่ต่อสู้ด้วยจราจร หรือเพิ่มรอบเพื่อไล่ตามผู้นำ
0	AUTO	NFSW_FORD_12MUSTBOSS_HEADER2	แข่งแบบไม่เกรงใจใคร!
0	AUTO	TTRL_FIRSTDRIVER_1	สิ่งแรกที่คุณต้องทำคือการสร้างนักขับใหม่\n\nนักขับคือตัวแทนของคุณในฐานะนักแข่งบนท้องถนน มันขึ้นอยู่กับคุณเองว่าจะแข่งกับนักขับคนอื่นเพื่อสร้างชื่อเสียง สะสมรถซูเปอร์คาร์ชั้นยอดต่างๆ  หรือปรับแต่งรถตามความชอบของคุณ\n\nคุณจำเป็นต้องตั้งชื่อที่ไม่ซ้ำใครและเลือกรูปนักขับของคุณ ดังนั้นมาเริ่มกันเลยดีกว่า
0	AUTO	TTRL_FIRSTDRIVER_2	ชื่อนักขับมีความยาวได้ไม่\nเกิน 14 ตัวอักษรและไม่\nสามารถใช้ซ้ำกับคนอื่นได้
0	AUTO	TTRL_FIRSTDRIVER_3	คลิกลูกศรเพื่อเลื่อนดู\nรูปจากนั้นเลือกภาพที่คุณ\nต้องการ
0	AUTO	TTRL_FIRSTDRIVER_4	เมื่อตั้งชื่อและเลือกรูปของ\nคุณเสร็จแล้วให้คลิกเพื่อ\nสร้างนักขับของคุณ
0	AUTO	NFSW_A1_Custom_Header1	AUDI A1 CLUBSPORT QUATTRO แต่งพิเศษ
0	AUTO	NFSW_A1_Custom_Header2	ออกแบบและได้แรงบันดาลใจส่งตรงจากโรงงานผลิต!
0	AUTO	TXT_SYSCHT_SCOPE_BROADCAST	เผยแพร่
0	AUTO	TXT_CNM_ZONE_LOWERING_KIT	ชุดโหลดต่ำ
0	AUTO	TXT_CMN_OPTIONS_BTN_RBRACKET	]
0	AUTO	TXT_CMN_BRKEREV	เบรก / ถอยหลัง
0	AUTO	PRESETCAR_DESCRIPTION_BMW_M3_E46_1	DUKE
0	AUTO	PRESETCAR_DESCRIPTION_BMW_M3_E46_2	PEDIGREE
0	AUTO	TXT_POWUP_READY	READY!
0	AUTO	TLE_SH_POPUP_CANNOT_REFRESH_CATALOG	เซิร์ฟเวอร์เกิดความผิดพลาด
