#	Labrune - D:\Games\NFS Undercover\LANGUAGES\Hungarian_Global.bin
#	File created on: 2025-05-23 18:36:58
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	CUST_VINYLS_TRANSFORM_TITLE	Fólia átalakítása
0	AUTO	CARNAME_MUSTANG03_SHORT	'03 Mustang GT
0	AUTO	PART_PERF_NITROUS_1	Dry Shot Nitrous Kit
0	AUTO	PART_PERF_NITROUS_2	Nitrous Purge Kit
0	AUTO	PART_PERF_NITROUS_3	10 lb Nitrous Bottle
0	AUTO	PART_PERF_NITROUS_4	Wet Shot Nitrous Kit
0	AUTO	PART_PERF_NITROUS_5	Nitrous Bottle Heater
0	AUTO	PART_PERF_NITROUS_6	15 lb Nitrous Bottle
0	AUTO	PART_PERF_NITROUS_7	Direct Port Nitrous Kit
0	AUTO	PART_PERF_NITROUS_8	Nitrous Pressure Controller
0	AUTO	PART_PERF_NITROUS_9	20 lb Nitrous Bottle
0	AUTO	VINYL_PART_AFTERMARKET_INTRAX	InTrax Suspension
0	AUTO	CARNAME_NISSAN_240SX	Nissan 240SX (S13)
0	AUTO	CARNAME_CHEVROLET_CORVETTE	CHEVROLET CORVETTE C6
0	AUTO	ON_LOGIN_PASSWORD	Jelszó
0	AUTO	MENU_POSTRACE_AVERAGE_DRIFT_LENGTH	ÁTL. HOSSZ
0	AUTO	TIP_DESC_NITROUSDRIFT	Ha driftelni akarsz, nyomd meg kanyarodás közben a kézifék gombját.\n\nHa nitróval akarsz driftelni, kanyarodj, mint a normál driftnél, majd amikor fordulni kezdesz, kapcsold be a nitrót és ne feledkezz meg az ellenkormányzásról!
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	AUTO	TIP_DESC_INTHEZONEMULTIPLIER	A zónamérő a zónapontok szorzóját mutatja. Ez egyszeresről indul, de akár ötszörös is lehet. Minél nagyobb a szorzó, annál gyorsabban gyarapszanak zónapontjaid. A szorzó minden esemény kezdetén nullázódik.
0	AUTO	HUD_CANYON_COLLISION_PENALTY	ÜTKÖZÉS %$d PONT
