#	Labrune - D:\Games\NFS Carbon\LANGUAGES\Chinese_Simp_InGame.bin
#	File created on: 2025-05-10 14:52:30
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	MENU_POSTRACE_AVERAGE_DRIFT_LENGTH	平均长度
0	AUTO	WM_ACQUISITION_AREA_CONQUERED	*征服区域*
0	AUTO	MENU_POSTRACE_CAR_CLASS_SELECT	是否使用这辆赛车开始你的生涯？
0	AUTO	HUD_CANYON_COLLISION_PENALTY	冲撞%$d积分
0	AUTO	POSTRACE_CREW_INVITE	车队邀请
0	AUTO	HUD_YOUR_TIME	你所用的时间：
0	AUTO	MENU_PAUSE_QUIT_TO_FREEROAM	退回到自由驾驶
0	AUTO	HUD_SHIFT_PERFECT	完美的换档！
0	AUTO	HUD_DRIFT_KEEP_MOVING	继续前进！
0	AUTO	PURSUIT_MILESTONE_ACHIEVED	完成里程碑
0	AUTO	HUD_WRNONG_WAY	方向错误
0	AUTO	HUD_DRIFT_DRIFT_ENDED	飘移结束
0	AUTO	QR_GHOST_UPLOAD	恭喜你创下了新的前3名的本赛道全球的新记录！^你的幽灵车正在上传到NeedforSpeed.com排行榜，^供其他玩家挑战！
0	AUTO	MENU_POSTRACE_CANYON_SECTION_ONE_COMPLETE	两个阶段中的第一个阶段
0	AUTO	HUD_DRIFT_PERFECT_ENTRY	完美的进入
0	AUTO	MENU_POSTRACE_SPEEDTRAPS	超速赛
0	AUTO	SMS_FROM	从：
0	AUTO	SMS_TEXT	文本
0	AUTO	HUD_DRIFT_POINTS_EARNED	赢得积分
0	AUTO	MENU_POSTRACE_CREW_WIN	*%s获胜*
0	AUTO	MENU_POSTRACE_OPP_OVERBOARD	对手坠毁！
0	AUTO	HEADER_POSTRACE_CROSS_LOSE	你输了
0	AUTO	DIALOG_MSG_CONFIRM_ENTER_CARLOT	是否确认进入车场？
0	AUTO	MENU_POSTRACE_WAITING_FOR_OTHER_OPPONENTS	等待其他的对手：
0	AUTO	DEMO_BEAT_CANYON_HIGH_SCORE	在这条赛道你创造了一个高分！
0	AUTO	OL_NEW_GHOST	新的幽灵车
0	AUTO	DIALOG_MSG_CONFIRM_QUIT_TO_FREEROAM	你确定要退出自由驾驶？^所有的成绩将丢失。
0	AUTO	HUD_COPDESTROYED_COPSUVL	轻型SUV^综合赏金：%$d
0	AUTO	DIALOG_MSG_JUMP_TO_SAFEHOUSE	进入安全屋
0	AUTO	MENU_POSTRACE_VIEW_CHECKPOINTS	查看检查站
0	AUTO	HUD_CANYON_RATING_0	快点！
0	AUTO	HUD_CANYON_RATING_1	慢些
0	AUTO	HUD_CANYON_RATING_2	平均
0	AUTO	HUD_CANYON_RATING_3	好！
0	AUTO	HUD_CANYON_RATING_4	太好了！
0	AUTO	HUD_CANYON_RATING_5	太棒了！
0	AUTO	HUD_SHIFT_EARLY	换档过早！
0	AUTO	MENU_POSTRACE_STAGES_TITLE	阶段
0	AUTO	MENU_POSTRACE_TRAFFIC_COLLISIONS	车辆碰撞
0	AUTO	MENU_POSTRACE_VIEW_LAPS	查看圈数
0	AUTO	HUD_DRIFT_SCORING_ZONE_START	得分区开始！
0	AUTO	MENU_POSTRACE_REP_REWARD	名声奖励
0	AUTO	HUD_SHIFT_GOOD	漂亮的换档！
0	AUTO	HUD_DRIFT_GREAT_DRIFT	完美的飘移！
0	AUTO	MENU_POSTRACE_CASH_REWARD	现金奖励
0	AUTO	WORLDMAP_INFO_RANDOM_ENCOUNTER	*车队挑战*
0	AUTO	MENU_POSTRACE_FINALIZEING_SCORE	等待最终结果
0	AUTO	HUD_DRIFT_NICE_DRIFT	不错的飘移！
0	AUTO	OL_SAVE_GHOST	幽灵车
0	AUTO	MENU_PAUSE_WORLD_MAP	世界地图
0	AUTO	HUD_GPS_CONNECTION_LOST_RECONNECTING	GPS连接中断^重新连接中...
0	AUTO	MENU_POSTRACE_SCORE_WIN	击败对手的分数
0	AUTO	MENU_POSTRACE_PLAYER_TIMOUT_AHEAD	超越对手！
0	AUTO	MENU_POSTRACE_TESTDRIVE_COMPLETE	试驾完成
0	AUTO	PURSUIT_REWARD_CARD_UNLOCKED	开启奖励卡！
0	AUTO	MENU_POSTRACE_VIEW_SUMMARY	查看概要
0	AUTO	HUD_CHECKPOINT	检查站
0	AUTO	HUD_BOUNTY	悬赏金
0	AUTO	MENU_POSTRACE_WIN	*你的车队获胜*
0	AUTO	HUD_TUTORIAL_GOOD_JOB	干得好！
0	AUTO	HUD_TUTORIAL_PRESS_NOW	马上激活^按激活队员键
0	AUTO	MENU_POSTRACE_CHECKPOINT_TITLE	*检查站*
0	AUTO	HUD_DRIFT_RACE_OVER	比赛结束
0	AUTO	DIALOG_MSG_CONFIRM_RESTART_RACE	你确定要重新开始比赛？^所有的比赛成绩都将丢失。
0	AUTO	HUD_SPEEDTRAP	超速赛
0	AUTO	WM_HELP_FIRSTIME_RANDOMENCOUNTER_OVERLAY	有对手挑战，设立终点线，谁先到谁就赢。
0	AUTO	MENU_PAUSE_RESUME_FREE_ROAM	继续自由驾驶
0	AUTO	MENU_POSTRACE_CANYON_COMPLETE	完成
0	AUTO	MENU_PAUSE_TITLE	*暂停*
0	AUTO	HUD_IMMUNE	无敌
0	AUTO	MENU_POSTRACE_POSITION	位置
0	AUTO	HUD_COPDESTROYED_COPSPORTGHOST	联邦密探车辆^综合赏金：%$d
0	AUTO	HUD_COPDESTROYED_COPSPORTHENCH	联邦追踪车^综合赏金：%$d
0	AUTO	MENU_POSTRACE_CROSS_LOSE	没有成功得逃脱CROSS的追击。
0	AUTO	SMS_CONFIRM_DELETE	是否确认删除短消息？
0	AUTO	MENU_POSTRACE_BACK_TO_GAMEROOM	返回游戏房间:
0	AUTO	MENU_POSTRACE_PLAYER_TIMOUT_BEHIND	太慢！
0	AUTO	HUD_COMPLETE	完成
0	AUTO	HUD_PASSED	被超过！
0	AUTO	MENU_POSTRACE_REWARD_CARDS_WON	赢得奖励卡：
0	AUTO	COP_ESCAPE_DONE	躲避追踪！
0	AUTO	HUD_GO	GO！
0	AUTO	MENU_POSTRACE_OPP_TIMOUT_AHEAD	被对手领先！
0	AUTO	HUD_SPLIT_SCORE	额外分数：
0	AUTO	HUD_COPDESTROYED_COPGTOGHOST	州际密探车辆^综合赏金：%$d
0	AUTO	DIALOG_MSG_GPS_TO_SAFEHOUSE	使用GPS来找安全屋？
0	AUTO	POST_RACE_RACER_PROFILE	准备比赛选手资料
0	AUTO	HUD_NEXT_CHECKPOINT	下个检查站：
0	AUTO	MENU_POSTRACE_SPEEDTRAPS_TITLE	*超速赛*
0	AUTO	TITLE_DEFENCE_RACE	*防御赛*
0	AUTO	SMS_SUBJECT	主题：
0	AUTO	MENU_POSTRACE_BEST_SPEEDTRAP_SPEED	最佳超速赛速度
0	AUTO	HUD_DRIFT_SPUN_OUT	侧滑！
