#	Labrune - D:\[Modding]\NFS\StringEditor\TextStrings\MostWantedMod\RAW\Chinese_zht.bin
#	File created on: 2025-05-10 16:24:24
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - GLOBAL
0	00000474	0x00000474	@
0	0000AC49	0x0000AC49	GPS
0	0000BF9C	0x0000BF9C	圈數
0	0000C62E	0x0000C62E	N2O
0	0000D99A	0x0000D99A	紅色
0	001335F0	0x001335F0	上一步
0	00136707	0x00136707	藍色
0	0013FF94	0x0013FF94	警察
0	00146104	0x00146104	DEMO
0	00163085	0x00163085	金色
0	00163C76	0x00163C76	灰色
0	0016E856	0x0016E856	ESPAOL
0	0018ECFF	0x0018ECFF	載入
0	00193F3E	0x00193F3E	男性
0	001B01CC	0x001B01CC	phils預設字串
0	001B06B1	0x001B06B1	粉紅色
0	001C8ACE	0x001C8ACE	儲存
0	001D27DF	0x001D27DF	
0	0020747C	0x0020747C	父母或監護人的電子郵件地址：
0	0023E142	0x0023E142	正在與大廳連線…
0	003B3E83	0x003B3E83	氮氧增壓裝置、渦輪增壓裝置及超級增壓裝置標誌，必須在車輛^已經安裝這些零件的可改裝版本時才能使用。
0	005A8B22	0x005A8B22	在你做出選擇之前，遊戲室已滿。
0	0066568A	0x0066568A	退出並返回Xbox Live主選單
0	009C5148	0x009C5148	Typhoon偏置
0	00A97902	0x00A97902	Mazda RX-7
0	00A97903	0x00A97903	Mazda RX-8
0	00C888DD	0x00C888DD	標誌
0	00CA0312	0x00CA0312	自動駕駛
0	00CA369E	0x00CA369E	預設
0	00D5F627	0x00D5F627	車輛選擇
0	00D87A00	0x00D87A00	請輸入%s的密碼
0	00DC0C9F	0x00DC0C9F	重新開始競賽
0	00F89214	0x00F89214	選擇新的生涯將會蓋掉你舊的生涯。你確定要展開新生涯？
0	012C6E4C	0x012C6E4C	尋找結果
0	015BCE87	0x015BCE87	這些標誌包括現金獎勵、離獄通行證、額外扣押警示標誌、扣押釋放標誌，^以及你剛擊敗的敵手車輛之行車執照。
0	017461C6	0x017461C6	賞金
0	017B2522	0x017B2522	咒罵 / 下流
0	018AE810	0x018AE810	飛速裝置
0	01A52DA5	0x01A52DA5	重新開始展示程式
0	01B8CBE3	0x01B8CBE3	物品
0	01BD185C	0x01BD185C	繼續自由漫遊
0	01CCE8C2	0x01CCE8C2	遊戲
0	01D829D6	0x01D829D6	！ 需要中文化 ！
0	01E19173	0x01E19173	單位
0	01E66364	0x01E66364	引擎燒毀
0	01F0E2B2	0x01F0E2B2	跑車
0	020352FB	0x020352FB	收費站時間挑戰
0	0205B328	0x0205B328	改裝型
0	02135588	0x02135588	在你能夠挑戰黑名單上的下位敵手之前，你必須先達到賞金的最低門檻。^你可以透過完成里程碑挑戰獲得賞金，但是，如果你想要更進一步的增加^賞金，你可以利用這些地點和警察展開追擊。如同往常一般，在你獲得賞^金之前，必須先甩掉警察。
0	0266BA2C	0x0266BA2C	你的語音聊天已經結束！
0	027347A1	0x027347A1	車體條紋1
0	027347A2	0x027347A2	車體條紋2
0	027347A3	0x027347A3	車體條紋3
0	027347A4	0x027347A4	車體條紋4
0	027347A5	0x027347A5	車體條紋5
0	027347A6	0x027347A6	車體條紋6
0	027347A7	0x027347A7	車體條紋7
0	027347A8	0x027347A8	車體條紋8
0	027347A9	0x027347A9	車體條紋9
0	027347C1	0x027347C1	車體條紋10
0	027C3EBB	0x027C3EBB	米黃色
0	027FF2DC	0x027FF2DC	黑色
0	02837B47	0x02837B47	棕色
0	028FEADD	0x028FEADD	新增
0	0291C816	0x0291C816	釘刺帶閃避
0	02AD727F	0x02AD727F	你已發送邀請給這位玩家！
0	02B00AA1	0x02B00AA1	載入選擇的網路組態設定時發生錯誤。
0	02CCC448	0x02CCC448	《俄羅斯情人》
0	02D32A79	0x02D32A79	在線上
0	02D749ED	0x02D749ED	在Rockport你會發現許多的一次搞定商店。你可以在這些地方為你的車輛購買新的性能零件，或是照你喜歡的方式改裝。察看世界地圖即可得知這些商店的位置。
0	02DAAB07	0x02DAAB07	亮光
0	02DDC8F0	0x02DDC8F0	綠色
0	02EDCD81	0x02EDCD81	火焰1
0	02EDCD82	0x02EDCD82	火焰2
0	02EDCD83	0x02EDCD83	火焰3
0	02EDCD84	0x02EDCD84	火焰4
0	02EDCD85	0x02EDCD85	火焰5
0	02EDCD86	0x02EDCD86	火焰6
0	02EDCD87	0x02EDCD87	火焰7
0	02EDCD88	0x02EDCD88	火焰8
0	02EDCD89	0x02EDCD89	火焰9
0	02EDCDA1	0x02EDCDA1	火焰10
0	02EDCDA2	0x02EDCDA2	火焰11
0	02EDCDA3	0x02EDCDA3	火焰12
0	02F6C885	0x02F6C885	你的車輛遭到扣押。
0	033CE3D4	0x033CE3D4	與你的ISP連線的等候時間逾時。
0	03414B3A	0x03414B3A	冰銅色
0	034B252A	0x034B252A	未罰違法事件
0	034E6E0C	0x034E6E0C	總計
0	034FA2C1	0x034FA2C1	跑道賽
0	036E79B9	0x036E79B9	使用現有的EA帳號
0	0381F718	0x0381F718	aqre
0	038A6E08	0x038A6E08	向後看（下）
0	039DF715	0x039DF715	重試
0	03B4C3DE	0x03B4C3DE	你必須結束此次語音聊天才能將%s^從你的朋友清單中移除。
0	03C94B43	0x03C94B43	違法事件
0	03CD7C4C	0x03CD7C4C	忘記我的EA帳號名稱
0	03F1F0CF	0x03F1F0CF	> 政府支出
0	03F2372E	0x03F2372E	> 前五大追擊
0	03F6F2BF	0x03F6F2BF	區域網路主選單
0	03F9E820	0x03F9E820	白色
0	040DEEAA	0x040DEEAA	
0	0440B490	0x0440B490	標準
0	045CFD65	0x045CFD65	敵手挑戰
0	0464D572	0x0464D572	DEBUG
0	047C8718	0x047C8718	父母許可
0	047F128A	0x047F128A	獨特變速箱升級套件
0	04810898	0x04810898	你希望使用你的標誌購買並套用此物品至你的車輛上嗎？
0	04984589	0x04984589	無法提交反應意見。
0	04D4A88D	0x04D4A88D	引擎罩
0	04D88D82	0x04D88D82	主持人選項
