#	Labrune - D:\[Modding]\NFS\StringEditor\TextStrings\MostWantedMod\RAW\Korean.bin
#	File created on: 2025-05-10 16:25:24
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - GLOBAL
0	AUTO	AT	@
0	AUTO	GPS	GPS
0	AUTO	LAP	랩
0	AUTO	N2O	N2O
0	AUTO	RED	적색
0	AUTO	BACK	뒤로
0	AUTO	BLUE	블루
0	AUTO	COPS	경찰
0	AUTO	DEMO	데모
0	AUTO	GOLD	골드
0	AUTO	GREY	회색
0	AUTO	LANG_SPANISH	ESPAOL
0	AUTO	LOAD	불러오기
0	AUTO	MALE	남성
0	AUTO	PHIL	phils 기본 행
0	AUTO	PINK	핑크
0	AUTO	SAVE	저장하기
0	AUTO	TEST	nothing in here ok la?
0	AUTO	OL_MSG_ACCOUNT_CREATE_PARENTAL_EMAIL	보호자 E메일 주소 :
0	AUTO	OL_MSG_CONNECT_TO_LOBBY	로비로 접속하고 있습니다 ...
0	AUTO	MISSING_PARTS_MARKER	니트로, 터보, 슈퍼차저 마커는 이미 이런 튜닝 파트를 장착한 차량에만 사용할 수 있습니다.
0	AUTO	OL_GAMEROOM_FULL	여러분의 세션을 만들기 전에 게임 대기실이 가득 찼습니다.
0	AUTO	OLX_QUIT_STRING	Xbox Live 메인 메뉴로 빠져나가기
0	AUTO	PN_ROOF_18_CF_OFFSET	Typhoon Offset
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	00C888DD	helpscreen_title_markers	마커
0	AUTO	AUTODRIVE	자동 운전
0	AUTO	H_DEFAULTS	초기화
0	AUTO	OLX_CAR_SELECT_TITLE	차량 선택
0	AUTO	OLX_ENTER_PASSCODE	%s에 대한 비밀 코드를 입력하여 주십시오.
0	AUTO	PR_RESTART_RACE	레이스 다시 시작하기
0	AUTO	CONFIRM_START_NEW_CAREER	새로운 커리어를 시작하면, 이전의 커리어가 사라질 것입니다. 정말로 새로운 커리어를 시작하시겠습니까?
0	AUTO	OL_FIND_RESULTS_TITLE	결과 찾기
0	AUTO	MARKER_CATEGORY_DESC_MISC	이 마커들은 현금 보너스, 석방권, 압류 해제권, 차량 소유권 등 다양한 기능을 가지고 있습니다.
0	017461C6	blacklist_pursuit_milestones_03_short	현상금
0	AUTO	OL_FEEDBACK_TYPE_LANGUAGE	악담 또는 추잡한 행위
0	AUTO	BUTTON_GAMEBREAKER	스피드브레이커
0	AUTO	PAUSE_RESTART_DEMO	데모 다시 시작하기
0	AUTO	CS_ITEM	아이템
0	AUTO	PAUSE_RESUME_FREE_ROAM	자유 주행
0	AUTO	OPT_GAMEPLAY_TITLE	게임플레이
0	AUTO	NEEDS_LOCALIZATION	! 한글화 해 !
0	AUTO	OPT_GAMEPLAY_UNITS	단위
0	AUTO	HUD_LB_BLOWNENGINE	엔진이 터졌습니다!
0	AUTO	CSF_SPORT	스포트
0	AUTO	CHALLENGE_SERIES_DESC_55_HEADER	톨게이트 타임 어택
0	AUTO	CSF_TUNER	튜너
0	AUTO	HELP_BOUNTY	블랙리스트의 라이벌에게 도전하려면 먼저 충분한 현상금을 쌓아야 합니다. 마일스톤 챌린지를 완료하여 현상금을 쌓을 수도 있지만, 다음 장소들에서 경찰과 추격전을 펼 수 있습니다. 반드시 도주에 성공해야 현상금이 올라갑니다.
