#	Labrune - D:\Games\NFS Carbon\LANGUAGES\Danish_Frontend.bin
#	File created on: 2025-05-10 15:18:59
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	CUST_VINYLS_TRANSFORM_TITLE	*JUSTÉR VINYL*
0	AUTO	ON_STAT_HEADER_KNOCKOUTS	Knockouts
0	AUTO	MENU_CREW_LOGO	SLÆNGETS LOGO
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	MARKER_CATEGORY_DESC_MISC	Disse ikoner omfatter pengebonusser, ekstra beslaglæggelsesklip og registreringsattesten på boss-modstanderens bil.
0	AUTO	DEMO_CUSTOMIZATION_SELL	Autosculpt™ giver dig muligheden for at fremstille dine egne dele og tilpasse din bil specielt til dig.^Du kan ændre på fælge, spoilere, luftindtag, kølerhjelme og karrosserier og skabe lige præcis de dele, du måtte ønske. Desuden kan du få personlige vinyler, ekstra ydelsesdele eller en specialtilpasset lakering og lave helt din egen stil til dig og dit slæng - hvad enten I kører i Tuner-, Muskel- eller Eksotiske biler.
0	AUTO	CHAL_COMPLETED	Gennemført
0	AUTO	MC_CONFIRM_CREATE_PROFILE	Opret et nyt alias? Hvis du ikke opretter et nyt alias, vil ændringer, der ikke er gemt, gå tabt.
0	AUTO	CHAL_SELECT_CREW_MODE	Vælg type af Co-op-udfordring
0	AUTO	CUST_PARTS_WHEELS_TITLE	*FÆLGE*
0	AUTO	MARKER_NAME_TRANSMISSION	Unikke gearkasse-opgraderinger
0	AUTO	CUST_VINYLS_COLOUR_TITLE	*VINYLFARVE*
0	AUTO	CARNAME_DODGE_VINTAGE_CHARGER69	Dodge Charger R/T
0	AUTO	SHOPPING_CART_DLG_NO_CASH	Du har ikke nok penge til alle disse dele. Fjern venligst et par dele fra indkøbsvognen.
0	AUTO	CARNAME_MERCEDES_CLK500	Mercedes-Benz CLK 500
0	AUTO	LANG_FINNISH	Finsk
0	AUTO	MARKER_NAME_DESCRIPTION_HUD	En unik målerinstrument-opgradering på en af dine biler.
0	AUTO	MARKER_NAME_DESCRIPTION_NOS	En unik nitro-opgradering på en af dine biler.
0	AUTO	STAT_PERC_AS_POLICE	%% som politi
0	AUTO	HELP_RACE	Race
0	AUTO	RC_WIN_05_CAREER_RACES_DESCRIPTION	Skal vinde fem karriereløb
0	AUTO	CHAL_SOLO_CHALLENGE	Solo
0	AUTO	MENU_MAIN_TITLE_CAREER	*KARRIERE*
0	AUTO	STAT_NUM_TIMES_BUSTED	Antal gange fanget
0	AUTO	CUST_PARTS_WHEELS	FÆLGE
0	AUTO	STAT_NUM_CREW_MEMEBERS_HIRED	Makkere hyret
0	AUTO	MARKER_NAME_DESCRIPTION_CASH	Du scorede lige %$d ekstra i kontanter.
0	AUTO	MARKER_NAME_DESCRIPTION_HOOD	En unik kølerhjelm-opgradering på en af dine biler.
0	AUTO	MARKER_NAME_DESCRIPTION_RIMS	En unik hjul-opgradering på en af dine biler.
0	AUTO	MARKER_NAME_DESCRIPTION_TIRE	En unik dæk-opgradering på en af dine biler.
0	AUTO	PART_KIT01_FRONT_BUMPER	STAG
0	AUTO	LANG_HUNGARIAN_NO_TRANSLATION	MAGYAR
0	AUTO	MC_CREATE	Opret
0	AUTO	CUST_RIDE_HEIGHT_DROP	Kørehøjde-justering
0	AUTO	HELP_CAREER_CONTROLS	Din bil
0	AUTO	PART_KIT07_SKIRT	SLIPSTREAM
0	AUTO	MENU_CREW_STYLE	Slængets stil
0	AUTO	POST_RACE_PURSUIT_STATS	Jagtstatistik
0	AUTO	MC_DELETE	Slet
0	AUTO	MENU_QUICKRACE_GHOST_TIME	Skyggebils score
0	AUTO	CUST_VINYL_GRADIENT_0_0	FARVE 1
0	AUTO	CUST_VINYL_GRADIENT_1_0	FARVE 2
0	AUTO	RC_NAME_104	10 strissere
0	AUTO	LANG_SWEDISH	Svensk
0	AUTO	PART_KIT07_REAR_BUMPER	SLIPSTREAM
0	AUTO	MARKER_NAME_PAINT	Unikke maling-opgraderinger
0	AUTO	GAME_OVER_WINGMEN_BUSTED_DESC	Hele dit slæng er blevet nakket, og du har ikke nok penge til at betale for deres kaution.
0	AUTO	CUST_VINYL_INNER_GLOW_0	GLØD
0	AUTO	MARKER_NAME_BRAKES	Unikke bremse-opgraderinger
0	AUTO	CUST_VINYL_GROUP_CAMOUFLAGE	CAMOUFLAGE
0	AUTO	CARNAME_JAGUAR_XK	Jaguar XK
0	AUTO	DEF_RACE_INFO_OWNERSHIP	Ejer:
0	AUTO	CUST_PERF_MENU_TIRES	DÆK
0	AUTO	CUST_PERF_MENU_TURBO	TURBO
0	AUTO	CUST_PERF_MENU_TRANSMISSION	GEARKASSE
0	AUTO	CARNAME_PORSCHE_CARRERA_GT	Porsche Carrera GT
0	AUTO	MARKER_NAME_CHASSI	Unikke affjedrings-opgraderinger
0	AUTO	STAT_INFRACTIONS_TOTAL	Overtrædelser (Samlet)
0	AUTO	MARKER_NAME_DESCRIPTION_PINKSLIP	Du har netop vundet registreringsattesten til din modstanders bil. Næste gang du kigger forbi dit tilflugtssted, vil denne bil stå og vente på dig.
0	AUTO	CAR_SELECT_BUY_CAR	Køb bil
0	AUTO	CAR_SELECT_DIALOG_GARAGE_FULL_NOTIFICATION	Din garage er fuld. Du kan kun få plads til ekstra biler, hvis du sælger nogen af dem, du har.
0	AUTO	CHAL_CREW_CHALLENGE	Co-op
0	AUTO	MARKER_NAME_DECALS	Unikke mærkatopgraderinger
0	AUTO	MENU_CAREER_SAVE_LOAD	GEM
0	AUTO	CARNAME_BMW_M3_GTRE46	BMW M3 GTR
0	AUTO	LANG_POLISH_NO_TRANSLATION	POLSKI
0	AUTO	STAT_TOTAL_CASH	Samlet pengesum tjent
0	AUTO	CHALLENGE_SERIES_DESC_079	Slå en let modstander i en Canyon-duel på Journeyman's Bane.
0	AUTO	CHALLENGE_SERIES_DESC_080	Slå en trænet modstander i en Canyon-duel på Gold Valley.
0	AUTO	CHALLENGE_SERIES_DESC_081	Slå en svær modstander i en Canyon-duel på Eternity Pass.
0	AUTO	CHALLENGE_SERIES_DESC_082	Vind et Canyon-løb på Gold Valley mod lette modstandere.
0	AUTO	CHALLENGE_SERIES_DESC_083	Vind et Canyon-løb på Copper Ridge mod trænede modstandere.
0	AUTO	CHALLENGE_SERIES_DESC_084	Vind et Canyon-løb på Deadfall Junction mod svære modstandere.
0	AUTO	CHALLENGE_SERIES_DESC_085	Gennemfør checkpoint-udfordringen på Eskuri Plaza på under 3.44.
0	AUTO	CHALLENGE_SERIES_DESC_086	Gennemfør checkpoint-udfordringen på Rabinowitz Drive på under 3.02 for at vinde.
0	AUTO	CHALLENGE_SERIES_DESC_087	Gennemfør checkpoint-udfordringen på Blackwell Road på under 3.21 for at vinde.
0	AUTO	CHALLENGE_SERIES_DESC_088	Gennemfør checkpoint-udfordringen på Lofty Heights på under 2.39 for at vinde.
0	AUTO	CHALLENGE_SERIES_DESC_089	Gennemfør checkpoint-udfordringen på Knife's Edge på under 1.25.
0	AUTO	CHALLENGE_SERIES_DESC_090	Gennemfør checkpoint-udfordringen på Desperation Ridge på under 1.55.
0	AUTO	CHALLENGE_SERIES_DESC_091	Scor over 25.000 point på denne Canyon-drift for at vinde.
0	AUTO	CHALLENGE_SERIES_DESC_092	Scor over 100.000 point på denne Canyon-drift for at vinde.
0	AUTO	CHALLENGE_SERIES_DESC_093	Scor over 150.000 point på denne Canyon-drift for at vinde.
0	AUTO	CHALLENGE_SERIES_DESC_094	Bliv jagtet af politiet i mindst %s minutter og slip væk for at vinde.
0	AUTO	CHALLENGE_SERIES_DESC_095	Bliv jagtet af politiet i mindst %s minutter og slip væk for at vinde.
0	AUTO	CHALLENGE_SERIES_DESC_096	Bliv jagtet af politiet i mindst %s minutter og slip væk for at vinde.
0	AUTO	CHALLENGE_SERIES_DESC_097	Uskadeliggør minimum %s politibiler og slip derefter væk for at vinde.
0	AUTO	CHALLENGE_SERIES_DESC_098	Uskadeliggør minimum %s politibiler og slip derefter væk for at vinde.
0	AUTO	CHALLENGE_SERIES_DESC_099	Uskadeliggør minimum %s politibiler og slip væk.
0	AUTO	CHALLENGE_SERIES_DESC_100	Vind et Circuit-løb på Dover St. mod lette modstandere.
0	AUTO	CHALLENGE_SERIES_DESC_101	Vind et Circuit-løb på Ocean View mod trænede modstandere.
0	AUTO	CHALLENGE_SERIES_DESC_102	Vind et Circuit-løb på Starlight Street mod svære modstandere.
0	AUTO	CHALLENGE_SERIES_DESC_103	Vind et Sprint-løb på Condo Row mod lette modstandere.
0	AUTO	CHALLENGE_SERIES_DESC_104	Vind et Sprint-løb på Kings Park mod trænede modstandere.
0	AUTO	CHALLENGE_SERIES_DESC_105	Vind et Sprint-løb på Canmor Road mod svære modstandere.
0	AUTO	CHALLENGE_SERIES_DESC_106	Scor over 50.000 point på denne Drift for at vinde.
0	AUTO	CHALLENGE_SERIES_DESC_107	Scor over 140.000 point på denne Drift for at vinde.
0	AUTO	CHALLENGE_SERIES_DESC_108	Scor over 250.000 point på denne Drift for at vinde.
0	AUTO	CHALLENGE_SERIES_DESC_109	Vind Fartfælde-løbet på Million Dollar mod lette modstandere.
0	AUTO	CHALLENGE_SERIES_DESC_110	Vind et Fartfælde-løb på Infinity Park mod trænede modstandere.
0	AUTO	CHALLENGE_SERIES_DESC_111	Vind et Fartfælde-løb på Eskuri Way mod svære modstandere.
0	AUTO	CHALLENGE_SERIES_DESC_112	Vind Gaderæset i Downtown mod lette modstandere.
0	AUTO	CHALLENGE_SERIES_DESC_113	Vind Gaderæset på Fortuna mod øvede modstandere.
0	AUTO	CHALLENGE_SERIES_DESC_114	Vind Gaderæset på Silverton mod svære modstandere.
0	AUTO	LANG_GERMAN_NO_TRANSLATION	DEUTSCH
0	AUTO	OL_BUTTON_TIME_PERIOD	Tidsperiode
0	AUTO	CLASS_TUNER_DESCRIPTION	Tunere har en stram styring og klarer sving som en leg. ^Det, tunere ikke har på lige strækninger, indhenter de^i svingene. Med et vejgreb i denne klasse kan man lige^så godt holde speederen i bund igennem hele svinget.
