#	Labrune - D:\Games\NFS Carbon\LANGUAGES\Chinese_Simp_Frontend.bin
#	File created on: 2025-05-10 14:52:09
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	CUST_VINYLS_TRANSFORM_TITLE	*涂饰变化*
0	AUTO	ON_STAT_HEADER_KNOCKOUTS	淘汰赛
0	AUTO	MENU_CREW_LOGO	车队图标
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	MARKER_CATEGORY_DESC_MISC	这些标记包括现金奖励、出狱通行证、额外的扣押数标^记和你击败头目的赛车解雇通知书。
0	AUTO	DEMO_CUSTOMIZATION_SELL	Autosculpt™允许你自定义制作自己的零件，你可以修改车身，轮胎，^引擎盖，车顶。^自定义不仅如此。你还可以继续自己设计自己的赛车，喷自己喜欢的颜^色，添加自己喜欢的涂漆，贴纸，安装部件到你独特的改装车，大马力^车，或超级跑车中。
0	AUTO	CHAL_COMPLETED	完成的
0	AUTO	MC_CONFIRM_CREATE_PROFILE	创建新的昵称？如果不创建新昵称，更改可能会丢失。
0	AUTO	CHAL_SELECT_CREW_MODE	选择合作挑战模式
0	AUTO	CUST_PARTS_WHEELS_TITLE	轮胎
0	AUTO	MARKER_NAME_TRANSMISSION	独特变速箱升级
0	AUTO	CUST_VINYLS_COLOUR_TITLE	*涂饰涂漆*
0	AUTO	CARNAME_DODGE_VINTAGE_CHARGER69	Dodge Charger R/T
0	AUTO	SHOPPING_CART_DLG_NO_CASH	你没有足够的钱购买所有的零件，在购物车中删去一些物品。
0	AUTO	CARNAME_MERCEDES_CLK500	Mercedes-Benz CLK 500
0	AUTO	LANG_FINNISH	芬兰语
0	AUTO	MARKER_NAME_DESCRIPTION_HUD	适用于所有赛车的自定义仪表盘升级。
0	AUTO	MARKER_NAME_DESCRIPTION_NOS	适用于所有赛车的氮气升级。
0	AUTO	STAT_PERC_AS_POLICE	扮演警察%%
0	AUTO	HELP_RACE	比赛
0	AUTO	RC_WIN_05_CAREER_RACES_DESCRIPTION	需要赢得5次生涯车赛
0	AUTO	CHAL_SOLO_CHALLENGE	单人挑战
0	AUTO	MENU_MAIN_TITLE_CAREER	*生涯*
0	AUTO	STAT_NUM_TIMES_BUSTED	被捕次数
0	AUTO	CUST_PARTS_WHEELS	轮胎
0	AUTO	STAT_NUM_CREW_MEMEBERS_HIRED	雇佣队员
0	AUTO	MARKER_NAME_DESCRIPTION_CASH	你刚刚获得了额外的%$d现金。
0	AUTO	MARKER_NAME_DESCRIPTION_HOOD	适用于所有赛车的引擎盖升级。
0	AUTO	MARKER_NAME_DESCRIPTION_RIMS	适用于所有赛车的独特轮胎升级。
0	AUTO	MARKER_NAME_DESCRIPTION_TIRE	适用于所有赛车的独特轮胎升级。
0	AUTO	PART_KIT01_FRONT_BUMPER	STAG
0	AUTO	LANG_HUNGARIAN_NO_TRANSLATION	MAGYAR
0	AUTO	MC_CREATE	创建
0	AUTO	CUST_RIDE_HEIGHT_DROP	车身高度降低
0	AUTO	HELP_CAREER_CONTROLS	生涯控制
0	AUTO	PART_KIT07_SKIRT	SLIPSTREAM
0	AUTO	MENU_CREW_STYLE	车队类型
0	AUTO	POST_RACE_PURSUIT_STATS	追踪统计
0	AUTO	MC_DELETE	删除
0	AUTO	MENU_QUICKRACE_GHOST_TIME	幽灵车分数
0	AUTO	CUST_VINYL_GRADIENT_0_0	坡度0
0	AUTO	CUST_VINYL_GRADIENT_1_0	坡度1
0	AUTO	RC_NAME_104	10辆警车
0	AUTO	LANG_SWEDISH	瑞典语
0	AUTO	PART_KIT07_REAR_BUMPER	SLIPSTREAM
0	AUTO	MARKER_NAME_PAINT	独特涂漆升级
0	AUTO	GAME_OVER_WINGMEN_BUSTED_DESC	你的所有队员都已入狱，你没有足够的钱把他们保释出来。
0	AUTO	CUST_VINYL_INNER_GLOW_0	内发光
0	AUTO	MARKER_NAME_BRAKES	独特刹车升级
0	AUTO	CUST_VINYL_GROUP_CAMOUFLAGE	迷彩
0	AUTO	CARNAME_JAGUAR_XK	Jaguar XK
0	AUTO	DEF_RACE_INFO_OWNERSHIP	拥有权：
0	AUTO	CUST_PERF_MENU_TIRES	轮胎
0	AUTO	CUST_PERF_MENU_TURBO	涡轮
0	AUTO	CUST_PERF_MENU_TRANSMISSION	变速箱
0	AUTO	CARNAME_PORSCHE_CARRERA_GT	Porsche Carrera GT
0	AUTO	MARKER_NAME_CHASSI	独特悬挂升级
0	AUTO	STAT_INFRACTIONS_TOTAL	违规 (总)
0	AUTO	MARKER_NAME_DESCRIPTION_PINKSLIP	你刚刚获得了车手头目赛车的解雇通知书。下次去安全屋^的时候，你会看到这辆赛车正等着你。
0	AUTO	CAR_SELECT_BUY_CAR	购买赛车
0	AUTO	CAR_SELECT_DIALOG_GARAGE_FULL_NOTIFICATION	你的车库已经满了。为了买进一辆新的赛车，你必须先卖出一辆赛车。
0	AUTO	CHAL_CREW_CHALLENGE	合作挑战
0	AUTO	MARKER_NAME_DECALS	独特贴纸升级
0	AUTO	MENU_CAREER_SAVE_LOAD	保存
0	AUTO	CARNAME_BMW_M3_GTRE46	BMW M3 GTR
0	AUTO	LANG_POLISH_NO_TRANSLATION	POLSKI
0	AUTO	STAT_TOTAL_CASH	总赚取现金数
0	AUTO	CHALLENGE_SERIES_DESC_079	在熟练车手的噩梦峡谷决斗中击败一^个简单对手。
0	AUTO	CHALLENGE_SERIES_DESC_080	在黄金谷的峡谷决斗中击败一个中级^对手。
0	AUTO	CHALLENGE_SERIES_DESC_081	在永恒关口的峡谷决斗中击败一个困^难对手。
0	AUTO	CHALLENGE_SERIES_DESC_082	在黄金谷中击败简单对手，赢得峡谷^赛车。
0	AUTO	CHALLENGE_SERIES_DESC_083	在铜山脊中击败中级对手，赢得峡谷^赛车。
0	AUTO	CHALLENGE_SERIES_DESC_084	在死亡接口中击败困难对手，赢得峡^谷赛。
0	AUTO	CHALLENGE_SERIES_DESC_085	在3:44内完成伊斯库里广场检查站赛^，才能获得胜利。
