#	Labrune - D:\Games\Soapbox World\Game Files\LANGUAGES\Chinese_Trad_Global.bin
#	File created on: 2025-05-10 17:46:10
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	GAME_ACTION_CREWDEFENSIVE	啟動隊員
0	AUTO	SKILLNAME_EXPLORER	值得探索
0	AUTO	TXT_TUTRL_PWRUPRACE	在競速中︰獲取¤BOOST、用交通車輛阻擋對手或者添加一個圈趕上領先車手。
0	AUTO	NFSW_FORD_12MUSTBOSS_HEADER2	在賽道上稱霸！
0	AUTO	TTRL_FIRSTDRIVER_1	您需要做的第一件事是創建一個新車手。\n\n您的車手代表您作為《極速快感世界》裡的街頭賽車手。之後要成名就\n\n要靠您與其他車手比拼，搜集令人驚嘆的超級跑車及隨您喜歡去把它們\n\n改裝。\n\n您先要選擇一個獨有的名字及車手的圖片，然後就可以開始了。
0	AUTO	TTRL_FIRSTDRIVER_2	車手名稱獨一無二。最多可達14個字元。
0	AUTO	TTRL_FIRSTDRIVER_3	點擊箭頭瀏覽，然後選擇您要的一個。
0	AUTO	TTRL_FIRSTDRIVER_4	一旦您選擇了名稱和照片，就點擊以創造您的車手。
0	AUTO	NFSW_A1_Custom_Header1	改裝AUDI A1 CLUBSPORT QUATTRO
0	AUTO	NFSW_A1_Custom_Header2	車廠設計，令人啟發！
0	AUTO	TXT_SYSCHT_SCOPE_BROADCAST	廣播
0	AUTO	TXT_CNM_ZONE_LOWERING_KIT	車高下調套件
0	AUTO	TXT_CMN_OPTIONS_BTN_RBRACKET	]
0	AUTO	TXT_CMN_BRKEREV	刹車/倒後
0	AUTO	PRESETCAR_DESCRIPTION_BMW_M3_E46_1	公爵
0	AUTO	PRESETCAR_DESCRIPTION_BMW_M3_E46_2	純種
0	AUTO	TXT_POWUP_READY	READY!
0	AUTO	TLE_SH_POPUP_CANNOT_REFRESH_CATALOG	伺服器錯誤
0	AUTO	TXT_NEWS_RACE_WON_FRIEND	[{0:s}]剛剛首次贏了多人競速。
0	AUTO	TXT_CMN_MEDIUM	中等
0	AUTO	TXT_TLTP_VIDSET_RAIN	切換下雨效果開關
0	AUTO	MSG_PUP_TRAFFIC_MAGNET	交通磁鐵
0	AUTO	CMN_SKILL_MOD_SHOP	技能商店
0	AUTO	TOOL_TIP_WALDO_FLIP_DOWN	向下翻轉彩繪
0	AUTO	PARTMANU_GROMLEN	GROMLEN
0	AUTO	TOOL_TIP_WALDO_FLIP_LEFT	向左翻轉彩繪
0	AUTO	TXT_LBL_NEWS_FILTER_DISPLAY	顯示：
0	AUTO	PRESETCAR_DESCRIPTION_LAM_GALL09_1	紅地毯
0	AUTO	PRESETCAR_DESCRIPTION_LAM_GALL09_2	石墨
0	AUTO	TXT_POPUP_BUYCARFAIL_INSUFFICIENTFUNDS	您沒有足夠的現金或¤BOOST來購買這輛車。
0	AUTO	TXT_SOCL_FR_ATSCREENNAMES	在所有暱稱前面加上「@」。
0	AUTO	TXT_NEWS_CARDPACK_COUNTRY_HEADER	國家套裝獨家優惠
0	AUTO	TXT_BOOT_LOAD_GLOBALS	數據組已更新
